EVT_751097_OPTIONA; Great!;
EVT_751098_NAME;The integration of the Ukraine;
EVT_751098_DESC;Areas of the artificial state of the Ukraine, created by the German Empire to weaken Russia, are now firmly integrated into our growing state.;
EVT_751098_OPTIONA; Great!;
EVT_751099_NAME;The integration of Azerbaijan;
EVT_751099_DESC;Areas of the rebellious state of Azerbaijan are now firmly integrated into our growing state.;
EVT_751099_OPTIONA; Great!;
EVT_751100_NAME;The integration of Armenia;
EVT_751100_DESC;Areas of the rebellious state of Armenia are now firmly integrated into our growing state.;
EVT_751100_OPTIONA; Great!;
EVT_751101_NAME;The integration of Besserabia;
EVT_751101_DESC;The region of Besserabia, once unlawfully occupied by Romania, is now firmly integrated into our growing state.;
EVT_751101_OPTIONA; Great!;
EVT_751102_NAME;The integration of Eastern Galicia;
EVT_751102_DESC;Eastern Galicia, once part of the Austro-Hungarian Empire, is now firmly integrated into our growing state.;
EVT_751102_OPTIONA; Great!;
EVT_751103_NAME;The fate of Poland;
EVT_751103_DESC;With the rebellious state of Poland finally crushed by the glorious Russian army the time has come to decide its fate. Shall we reincorporate it once more into our motherland or shall we preserve Polish independence under our supervision?;
EVT_751103_OPTIONA;Continue the military occupation!;
EVT_751104_NAME;The integration of Poland;
EVT_751104_DESC;Areas of the former Polish state are now firmly integrated into our growing motherland.;
EVT_751104_OPTIONA; Great!;
EVT_751108_NAME;Form Up the Troops!;
EVT_751108_DESC;gerarmedfor;
EVT_751109_NAME;Form Up the Troops!;
EVT_751109_DESC;gerarmedfor;
EVT_751110_NAME;Status of Poland;
EVT_751110_DESC;Our decision to restore independent Poland, even if it is under our supervision, was met with with stern disaproval from nationalist and social conservative political parties and organisations. They demand the reintegration of Poland into mother Russia. How shall the government react?;
EVT_751110_OPTIONA;Poland remains independent!;
EVT_751110_OPTIONB;Start the process of reintegration!;
EVT_751111_NAME;Status of Finland;
EVT_751111_DESC;Our decision to restore independent Finland, even if it is under our supervision, was met with with stern disaproval from nationalist and social conservative political parties and organisations. They demand the reintegration of Finland into mother Russia. How shall the government react?;
EVT_751111_OPTIONA;Finland remains independent!;
EVT_751111_OPTIONB;Start the process of reintegration!;
EVT_751112_NAME;Reintroduction of the Russian legislature;
EVT_751112_DESC;The Russian government, under direct pressure from the nationalist and social conservative organisations and movements, was forced to reevaluate its stance towards our autonomous status within the Russian state. In preparation for the direct reintegration of our state into Russia we were forced to gradually integrate Russian legislature into our legislative system.;
EVT_751112_OPTIONA;We must obey.;
EVT_751113_NAME;Reintroduction of the Russian legislature;
EVT_751113_DESC;The Russian government, under direct pressure from the nationalist and social conservative organisations and movements, was forced to reevaluate its stance towards our autonomous status within the Russian state. In preparation for the direct reintegration of our state into Russia we were forced to gradually integrate Russian legislature into our legislative system.;
EVT_751113_OPTIONA;We must obey.;
EVT_751114_NAME;Reintroduction of the Russian language;
EVT_751114_DESC;The reintegration of our state into Russia continues with reintroduction of Russian language as our second official language beside Polish.;
EVT_751114_OPTIONA;We must obey.;
EVT_751115_NAME;Reintroduction of the Russian language;
EVT_751115_DESC;The reintegration of our state into Russia continues with reintroduction of Russian language as our second official language beside Finnish.;
EVT_751115_OPTIONA;We must obey.;
EVT_751116_NAME;The integration of Poland;
EVT_751116_DESC;Our integration policies in the puppet Polish state were successful and Poland is prepared to be directly absorbed into the Russian state.;
EVT_751116_OPTIONA; Integrate Poland!;
EVT_751116_OPTIONB;Poland remains independent!;
EVT_751117_NAME;The integration of Finland;
EVT_751117_DESC;Our integration policies in the puppet Finish state were successful and Finland is prepared to be directly absorbed into the Russian state.;
EVT_751117_OPTIONA; Integrate Finland!;
EVT_751117_OPTIONB;Finland remains independent!;
EVT_751118_NAME;Students uprising;
EVT_751118_DESC;Students, prostesting the continual and gradual integration of our state into Russia, have blocked main roads in Helsinki and are occupying public buildings. We must use the army to quell these rebellious pupils.;
EVT_751118_OPTIONA;Goddamnit!;
EVT_751119_NAME;Students uprising;
EVT_751119_DESC;Students, prostesting the continual and gradual integration of our state into Russia, have blocked main roads in Warsaw and are occupying public buildings. We must use the army to quell these rebellious pupils.;
EVT_751119_OPTIONA;Goddamnit!;
EVT_751120_NAME;Students uprising in Finland;
EVT_751120_DESC;Students, prostesting the continual and gradual integration of our state into Russia, have blocked main roads in Helsinki and are occupying public buildings. We must use the army to quell these rebellious pupils.;
EVT_751120_OPTIONA;Goddamnit!;
EVT_751121_NAME;Students uprising in Poland;
EVT_751121_DESC;Students, prostesting the continual and gradual integration of our state into Russia, have blocked main roads in Warsaw and are occupying public buildings. We must use the army to quell these rebellious pupils.;
EVT_751121_OPTIONA;Goddamnit!;
EVT_751122_NAME;Alash-Orda Autonomy;
EVT_751122_DESC;With Russian domination over the Kazakh steppes secure some members of our goverment think that the time is right for the integration of Alash-Orda into the growing Russian empire. It would be quite easy to pass a series of laws which would ensure that the region is more firmly integrated into Russia.;
EVT_751122_OPTIONA;It is time for Russia to directly rule over the Kazakh steppes!;
EVT_751122_OPTIONB;Cossacks must remain autonomous;
EVT_751123_NAME;Still better than an occupation!;
EVT_751123_DESC;gerarmedfor;
EVT_751124_NAME;Still better than an occupation!;
EVT_751124_DESC;gerarmedfor;
EVT_751127_NAME;Pu-Yi's Offer;
EVT_751127_DESC;Our long-term friend and potential ally in China, the Qing Empire, has fallen to the fanatic rebels who now fancy themselves as the true rulers of China. They are fast becoming a real threat to stability of our territories in Siberia. Our spies have saved emperor Puyi, who is eager for revenge. Maybe he can still be useful to our cause.;
EVT_751127_OPTIONA;Establish Pu-Yi as the new emperor of Manchuria!;
EVT_751127_OPTIONB;This is useless.;
EVT_751128_NAME;Great Empire of Manchuria;
EVT_751128_DESC;With the help of the Russian state the rule of the Manchu Dynasty was able to reestablish in their original homeland. We are confident that soon the time will come for revenge against these rebels in the south!;
EVT_751128_OPTIONA;The Manchu Empire is reborn!;
EVT_7511030_NAME;An end of the war?;
EVT_7511030_DESC;Siberia is losing the war against us. Siberian forces have already left Tobolsk and Omsk. Many politicians in Novosibirsk understand, that sooner or the whole later Siberia will be under our control. Should we offer them peace? ;
EVT_7511030_OPTIONA;Offer peace treaty, reclaim our rule over Siberia!;
EVT_7511030_OPTIONB;No, the war will continue until we march through Novosibirsk!;
EVT_7511031_NAME;An end of the war?;
EVT_7511031_DESC;We are loosing the war against Russia. Our forces have already left Tobolsk and Omsk. Many politicians in Novosibirsk understand, that sooner or later the whole Siberia will be under Russian control. Russia demands us to finish this war and give up.;
EVT_7511031_OPTIONA;Allright, this war was a mistake.;
EVT_7511031_OPTIONB;All-right, this war was a mistake.;
EVT_7511031_OPTIONC;No, the war will continue until we march through Petrograd;
EVT_7511032_NAME;Control over Siberia is Restored;
EVT_7511032_DESC;Siberian government is ready to give up. Siberia will be integrated into Russia once again.;
EVT_7511032_OPTIONA;It is time to reincorporate Siberia into Russia!;
EVT_7511033_NAME;An end of the war?;
EVT_7511033_DESC;The Siberian rebels are losing the war. Siberian forces have already left Tobolsk, Omsk and even the capital Novosibirsk. Many Siberian politicians understand, that sooner or later the whole Siberia will be under our control. Should we offer them peace? ;
EVT_7511033_OPTIONA;Offer peace treaty, reclaim our rule over Siberia!;
EVT_7511033_OPTIONB;No, the war will continue until we march through Irkutsk!;
EVT_7511034_NAME;An end of the war?;
EVT_7511034_DESC;We are losing the war against Russia. Our forces have already left Tobolsk, Omsk and Novosibirsk. Many politicians in Novosibirsk understand, that sooner or later the whole Siberia will be under Russian control. Russia demands us to finish this war and give up.;
EVT_7511034_OPTIONA;Allright, this war was a mistake.;
EVT_7511034_OPTIONB;Allright, this war was a mistake.;
EVT_7511034_OPTIONC;No, the war will continue until we march through Petrograd;
EVT_7511035_NAME;Restoring Russian Control Over Siberia;
EVT_7511035_OPTIONA;Dispatch agitators and provocateurs!;
EVT_7511035_OPTIONB;Too risky;
EVT_7511036_NAME;Pro-Russian Demonstrations Along the Trans-Siberian Railroad;
EVT_7511036_DESC;Disaster! Protests demanding our reunification with Russia have broken out along the Trans-Siberian Railroad. Apparently they are supported by Russian operatives and agents. How should the Assembly react?;
EVT_7511036_OPTIONA;Give in and ascend to the protection of Mother Russia!;
EVT_7511036_OPTIONB;Give in and ascend to the protection of Mother Russia!;
EVT_7511036_OPTIONC;Give in and ascend to the protection of Mother Russia!;
EVT_7511036_OPTIOND;We shall defend Siberian Independence! By arms if necessary!;
EVT_1683400_NAME;Remembering the death of V. I. Lenin;
EVT_1683400_DESC;Today we remember the death of the greatest socialist revolutionary the world has ever seen, V. I. Lenin. His contribution to the cause will never be forgotten.;
EVT_1683400_OPTIONA;Lenin is Eternal!;
EVT_756020_NAME;The Workers and Peasant's State;
EVT_756020_DESC;Soviet Power has been established in Russia but Bukharin is unpopular because of his unstable polical views. There are three factions which have their own ideas on how to reorganise Russia; Frunze`s Autonomists, who want to take back all Russian territories to create Soviet Russia, SOVNARKOM, who propose federalization and the creation of the USSR and Tukhachevsky`s faction, consisting of Trotsky`s supporters, who want to launch a world revolution.;
EVT_756020_OPTIONA;Bukharin chooses Frunze`s autonomists!;
EVT_756020_OPTIONB;SOVNARKOM members create the USSR!;
EVT_756020_OPTIONC;Tukhachevsky takes power. The World Revolution begins!;
EVT_889003_NAME;Land and agricultural reforms;
EVT_889003_DESC;After 20 years of incompetent management Russian agriculture is very weak. Since there are no real Totalists in the government Bukharin wants to try to make self-employed peasants work for the state economy. Most of these peasants don`t have enough money. Should we help them?;
EVT_889003_OPTIONA;Yes, of course!;
EVT_889003_OPTIONB;It`s better to buy everything we need abroad.;
EVT_889003_OPTIONC;Save this money for our army.;
EVT_889004_NAME;Stabilization of agriculture;
EVT_889004_DESC;With Bukharin's plan taking effect most of the self-employed peasants could reorganize their homesteads and now we're recieving large amounts of agricultural supplies.;
EVT_889004_OPTIONA;Splendid!;
EVT_889005_NAME;Stabilization of agriculture;
EVT_889005_DESC;With Bukharin's plan taking effect most of the self-employed peasants could reorganize their homesteads and now we're recieving large amounts of agricultural supplies.;
EVT_889005_OPTIONA;Splendid!;
EVT_889006_NAME;Stabilization of agriculture;
EVT_889006_DESC;With Bukharin's plan taking effect most of the self-employed peasants could reorganize their homesteads and now we're recieving large amounts of agricultural supplies.;
EVT_889006_OPTIONA;Splendid!;
EVT_889007_NAME;Stabilization of agriculture;
EVT_889007_DESC;With Bukharin's plan taking effect most of the self-employed peasants could reorganize their homesteads and now we're recieving large amounts of agricultural supplies. With the agricultural sector stabilized we can finally turn our attention to our industrial sector.;
EVT_889007_OPTIONA;Thank you, comrades peasants!;
EVT_889008_NAME;Industrialization;
EVT_889008_DESC;After the reconstruction of our agricultural sector the Soviet government has decided to shift their attention to the industrial sector. Valeriy Kuybyshev says that we can build factories on our own. Nicolay Bukharin offers to ask France and Britain to build factories in Russia. Which way will Frunze choose?;
EVT_889008_OPTIONA;Choose Kuybyshev's plan.;
EVT_889008_OPTIONB;Ask France and Britain for help!;
EVT_889009_NAME;New factories;
EVT_889009_DESC;Everyone is contributing and new factories are opening. Soviet Russia will soon become the industrial centre of Eurasia!;
EVT_889009_OPTIONA;Hooray!;
EVT_889010_NAME;New factories;
EVT_889010_DESC;Everyone is contributing and new factories are opening. Soviet Russia will soon become the industrial centre of Eurasia!;
EVT_889010_OPTIONA;Hooray!;
EVT_889011_NAME;New factories;
EVT_889011_DESC;Our grandiose task of improving our obsolete factories has been finished. With such a powerful industrial sector at our disposal everything is possible.;
EVT_889011_OPTIONA;Hooray!;
EVT_889012_NAME;Russian industrialization;
EVT_889012_DESC;The Russian government has asked us to help them in their rapid industrialization process, which will allow Russia to re-emerge as a major power in Eurasia, in return for surpluses of raw material. Shall we assist them with this magnificent task?;
EVT_889012_OPTIONA;Why not? Send the engineers!;
EVT_889012_OPTIONB;No, we can`t.;
EVT_889013_NAME;Russian industrialization;
EVT_889013_DESC;The Russian government has asked us to help them in their rapid industrialization process, which will allow Russia to re-emerge as a major power in Eurasia, in return for surpluses of raw material. Shall we assist them with this magnificent task?;
EVT_889013_OPTIONA;Why not? Send the engineers!;
EVT_889013_OPTIONB;No, we can`t.;
EVT_889014_NAME;New factories;
EVT_889014_DESC;French technical specialists, joined by the Russian proletariat, have allowed us to improve our obsolete industrial sector. This will strengthen relations with our fellow syndicalist in France.;
EVT_889014_OPTIONA;Great!;
EVT_889015_NAME;New factories;
EVT_889015_DESC;English technical specialists, joined by the Russian proletariat, have allowed us to improve our obsolete industrial sector. This will strengthen relations with our fellow syndicalist in England.;
EVT_889015_OPTIONA;Great!;
EVT_889016_NAME;Land and agricultural reforms;
EVT_889016_DESC;The new federalist government has decided to follow orthodox syndicalism and Kaganovich has announced a plan of collectivization for the entire agricultural sector. It will be a long road to our dream of true Syndicalism but it must be done.;
EVT_889016_OPTIONA;Start the collectivization process!;
EVT_889016_OPTIONB;It`s danger to touch the peasants. Let`s focus on industry.;
EVT_889017_NAME;Stabilization of agriculture;
EVT_889017_DESC;According to the plans drafted by Kaganovich and his team of economical experts most of the peasants are forced to work on state owned farms. We're now recieving large amounts of agricultural supplies.;
EVT_889017_OPTIONA;Splendid!;
EVT_889018_NAME;Stabilization of agriculture;
EVT_889018_DESC;According to the plans drafted by Kaganovich and his team of economical experts most of the peasants are forced to work on state owned farms. We're now recieving large amounts of agricultural supplies.;
EVT_889018_OPTIONA;Splendid!;
EVT_889019_NAME;Stabilization of agriculture;
EVT_889019_DESC;According to the plans drafted by Kaganovich and his team of economical experts most of the peasants are forced to work on state owned farms. We're now recieving large amounts of agricultural supplies. With the agricultural sector stabilized we can finally turn our attention towards our underdeveloped industrial sector.;
EVT_889019_OPTIONA;Splendid!;
EVT_889020_NAME;Industrialization;
EVT_889020_DESC;The old government didn`t pay attention to the development of our industrial sector, what few factories we have are filled with old machinery. We must do something about this or we shall be crushed by the more industrially developed nations!;
EVT_889020_OPTIONA;Upgrade the old factories and build new ones!;
EVT_889020_OPTIONB;Only built new factories.;
EVT_889020_OPTIONC;Only upgrade our old factories.;
EVT_889021_NAME;New factories;
EVT_889021_DESC;Governmental aid and our protectionist policies continue to produce results; new factories are opening throughout Soviet Russia. Soon we will catch up with more developed countries in terms of industrial capacity.;
EVT_889021_OPTIONA;Great!;
EVT_889022_NAME;New factories;
EVT_889022_DESC;Governmental aid and our protectionist policies continue to produce results; new factories are opening throughout Soviet Russia. Soon we will catch up with more developed countries in terms of industrial capacity.;
EVT_889022_OPTIONA;Great!;
EVT_889023_NAME;New factories;
EVT_889023_DESC;New factories were built in various cities and towns throughout the motherland. We have increased our industrial potential and caught up with the most developed nations in the world!;
EVT_889023_OPTIONA;Great!;
EVT_889024_NAME;Successful upgrade;
EVT_889024_DESC;Some factories and industrial complexes were upgraded in our country. Soon we will increase our industrial potential!;
EVT_889024_OPTIONA;Great!;
EVT_889025_NAME;Successful upgrade;
EVT_889025_DESC;Some factories and industrial complexes were upgraded in our country. Soon we will increase our industrial potential!;
EVT_889025_OPTIONA;Great!;
EVT_889026_NAME;Successful upgrade;
EVT_889026_DESC;Most of the obsolete factories and industrial complexes were upgraded. Now we can turn our attention beyond our borders!;
EVT_889026_OPTIONA;Great!;
EVT_889027_NAME;Land and agricultural reforms;
EVT_889027_DESC;After 20 years of incompetent management the Russian agricultural sector is very weak. We need large ammounts of agricultural supplies for our industry and for our armed forces. How shall we obtain them?;
EVT_889027_OPTIONA;Restore Prodrazvyorstka, it`s cruel but there is no another way.;
EVT_889027_OPTIONB;Start the Collectivization process!;
EVT_889028_NAME;Industrialization;
EVT_889028_DESC;The old government didn`t pay attention to the development of our industrial sector, what few factories we have are filled with old machinery. We must do something about this or we shall be crushed by the more industrially developed nations!;
EVT_889028_OPTIONA;Build new factories and upgrade the old ones!;
EVT_757121_NAME;Village collective reports production surplus;
EVT_757121_DESC;A village collective has reported that they have exceeded their projected production efficiency.;
EVT_757121_OPTIONA;Splendid!;
EVT_757122_NAME;A new collective is formed;
EVT_757122_DESC;A new labour collective has been formed. Socialist methods of work are being introduced as the capitalist system recieves yet another blow.;
EVT_757122_OPTIONA;Splendid!;
EVT_757123_NAME;Projected limits exceeded;
EVT_757123_DESC;Several mines and factories have exceeded projected limits. The resource surplus is reaching our warehouses.;
EVT_757123_OPTIONA;Splendid!;
EVT_1683401_NAME;The Capital;
EVT_1683401_DESC;Either of Russia's historic capitals could become the home of our new socialist government. Where should we go?;
EVT_1683401_OPTIONA;Petrograd!;
EVT_1683401_OPTIONB;Moscow!;
EVT_757124_NAME;Naval reorganization;
EVT_757124_DESC;The Soviet navy is currently many years behind the other major states in terms of naval power. One way to improve the abysmal state of the Soviet navy is a modernisation program in which our largest warships will be completely overhauled.;
EVT_757124_OPTIONA;Launch a grand naval reorganization!;
EVT_757124_OPTIONB;Limit the reorganization to cruisers.;
EVT_757124_OPTIONC;Those ships are useless, scrap them!;
EVT_757125_NAME;Cruisers overhaul finished;
EVT_757125_DESC;The general overhaul of our obsolete cruisers was successfully finished. They are ready to re-enter the service of the Soviet navy.;
EVT_757125_OPTIONA;Excellent!;
EVT_757126_NAME;Battleships overhaul finished;
EVT_757126_DESC;The general overhaul of our obsolete battleships was successfully finished. They are ready to re-enter the service of the Soviet navy.;
EVT_757126_OPTIONA;Excellent!;
EVT_10000042_NAME;Status of the Orthodox Church;
EVT_10000042_DESC;Now that Soviet power has been established in Russia we must decide our stance towards the powerful Orthodox Church. The Church itself is still very important to the masses yet part of our doctrine insists that we have to destroy or significantly weaken religious organisations. What shall we do?;
EVT_10000042_OPTIONA;Purge the Church from Russia and install state atheism!;
EVT_10000042_OPTIONB;Leave the Church alone, a secular state will do.;
EVT_10000042_OPTIONC;Orthodoxy is our state religion!;
EVT_10000043_NAME;The clergy criticises the government;
EVT_10000043_DESC;A number of priests have voiced their disagreement with our policy of a secular and modern state. Even though this fact is of little importance we must keep in mind that religion plays a huge role in the average Russian's life.;
EVT_10000043_OPTIONA;Progress cannot be stopped!;
EVT_10000044_NAME;The patriarch criticises the government;
EVT_10000044_DESC;Seeing increased displeasure amongst the commonfolk, the patriarch has decided to voice his concern about the increasing secularisation of our state. Even if we try to turn a deaf ear to his demands we cannot easily ignore such an influential and powerful character as the patriarch.;
EVT_10000044_OPTIONA;Everything shall stay as it is!;
EVT_10000044_OPTIONB;Purge the Church from Russia and install state atheism!;
EVT_10000044_OPTIONC;He is right, declare Orthodoxy our state religion.;
EVT_10000045_NAME;Motherland mass;
EVT_10000045_DESC;Despite our secular politics there are still some religious elements within the country that wish well for its future, no matter who is in charge of the government. Yesterday a small mass was dedicated to the prosperity of our motherland.;
EVT_10000045_OPTIONA;A harmless, yet useful ceremony!;
EVT_10000046_NAME;Motherland mass;
EVT_10000046_DESC;A small celebration dedicated to the prosperity of our Motherland has been performed yesterday in one of our towns. Even though it was very modest both in scale and attendance it was enough to make a few hardliners upset. The commonfolk, however, considers this to be a visible sign of the Church's support for the Motherland.;
EVT_10000046_OPTIONA;S nami bog!;
EVT_10000047_NAME;The party hardliners criticise the clergy;
EVT_10000047_DESC;The hardline members of the party think that it is foolish of us to make this 'reactionary filth' part of the new Soviet state. Some of them want to secularize our state while the most radical members demand the complete abolition of church services.;
EVT_10000047_OPTIONA;Let them shout!;
EVT_10000047_OPTIONB;We should secularize our state.;
EVT_10000047_OPTIONC;They are right, destroy this 'reactionary establishment'!;
EVT_10000048_NAME;New Atheist Museum opened;
EVT_10000048_DESC;A new museum dedicated to state atheism has been opened yesterday in one of our towns. Its presence will definitely help to re-educate the backward parts of Russian society.;
EVT_10000048_OPTIONA;Excellent!;
EVT_10000049_NAME;Peasant unrest;
EVT_10000049_DESC;Our attempts to rid Russia of its reactionary remnants, namely the Orthodox Church, were met with ferocious resistance from the peasantry. These dissenters have been crushed by our armed forces.;
EVT_10000049_OPTIONA;Oh well.;
EVT_889146_NAME;Nicolai Bukharin dies;
EVT_889146_DESC;The leader of the VKP(b), also known as the All-Union Communist Party or the Bolsheviks, Nicolai Bukharin has passed away in his house in Moscow. He wasn`t very popular but he was one of the symbols of the new Soviet state. The Soviet people will remember Bukharin and his great deeds forever. Frunze has appointed Andrey Zhdanov, a member of the Leningrad VKP(B) section, as the new Prime-minister of Soviet Russia.;
EVT_889146_OPTIONA;Goodbye, Nicolai!;
EVT_889147_NAME;Nicolai Bukharin dies;
EVT_889147_DESC;The former leader of the VKP(b), also known as the All-Union Communist Party or the Bolsheviks, Nicolai Bukharin has passed away in his house in Moscow. He wasn`t very popular but he was one of the symbols of the new Soviet Russia. SOVNARKOM has decided to build a Mausoleum in his honour which will be situated in the Red Square. SOVNARKOM has appointed Mikhail Tomsky as the new prime-minister of the Soviet Union.;
EVT_889147_OPTIONA;Goodbye, Nicolai!;
EVT_889148_NAME;Nicolai Bukharin dies;
EVT_889148_DESC;The leader of the VKP(b), also known as the All-Union Communist Party or the Bolsheviks, Nicolai Bukharin has passed away in his house in Moscow. He wasn`t very popular but he was one of the symbols of the new Soviet Russia. Tukhachevsky has decided to build a big tower, crowned with a sculpture of Bukharin, to glorify his friend and comrade. General Meretskov was appointed as the new prime-minister of the Soviet Republic.;
EVT_889148_OPTIONA;Goodbye, Nicolai!;
EVT_889149_NAME;Michail Frunze is seriously ill;
EVT_889149_DESC;Michail Frunze was hospitalized in the central Moscow hospital yesterday after suffering from severe nausea. His diagnosis was found to be stomach cancer and the doctors are saying that Frunze will live no more than a year. The VKP(b) is currently split into 3 factions who will fight to gain majority on the XII congress of VKP(b) which will take place in 1948.;
EVT_889149_OPTIONA;Oh no!;
EVT_889150_NAME;National-Syndicalist faction;
EVT_889150_DESC;Members of the Leningrad section of the VKP(b) have met with supporters from all over Soviet Russia. They want to create a National-Syndicalist state as was described by Benito Mussolini and Oswald Mosley. The main leaders of this movement are Alexander Kuznetsov and Petr Popkov. Their political programs are deemed dangerous by the other factions of the VKP(b).;
EVT_889150_OPTIONA;Oh no!;
EVT_889151_NAME;The military faction;
EVT_889151_DESC;Some generals of the Soviet army, among them Georgiy Zhukov and Ivan Konev, are ready to take power. Their aim is an overhaul of the military industrial sector and the continuation of the armed struggle against all enemies of Soviet Russia.;
EVT_889151_OPTIONA;Oh no!;
EVT_889152_NAME;Beria finds friends;
EVT_889152_DESC;The NKVD is trying to find information about internal plots aimed against Soviet Russia. The chief of the NKVD, Pavel Sudoplatov, is a good friend of Lavrentij Beria. Nobody knows what their plans are but there are some rumours that they want to dissolve the party and partially restore capitalism.;
EVT_889152_OPTIONA;Oh no!;
EVT_889162_NAME;Yezhov finds friends;
EVT_889162_DESC;The NKVD is trying to find information about internal plots aimed against Soviet Russia. The chief of the NKVD, Pavel Sudoplatov, is a good friend of Nikolai Yezhov. Nobody knows what their plans are but there are some rumours that they want to dissolve the party and partially restore capitalism.;
EVT_889162_OPTIONA;Oh no!;
EVT_889153_NAME;The XII congress of 1948;
EVT_889153_DESC;Today our great leader, Michail Frunze, has succumbed to his illness. Through his actions Soviet Russia was greatly strengthened and thus he has earned the eternal gratitude of the Soviet nation. His death opens the field for different factions, each wanting to gain decisive power in Soviet Rusia. What will happen at the XII congress? Which faction will gain majority?;
EVT_889153_OPTIONA;The National-Syndicalist faction!;
EVT_889153_OPTIONB;The Military faction!;
EVT_889153_OPTIONC;The NKVD arrests them all!;
EVT_889154_NAME;XII congress of VKP(B);
EVT_889154_DESC;SOVNARKOM has announced that the XII congress of the VKP(b) will take place in 1948. Our party doesn`t have a real leader so the VKP(b) has split into 2 factions. Each of them has plans on how to reform the exisitng political and economic system of the Soviet Union.;
EVT_889154_OPTIONA;What will happen next?;
EVT_889155_NAME;The New-Leninist faction;
EVT_889155_DESC;Since the birth of the Soviet Union the VKP(b) hasn`t changed it`s political program. Nikita Khrushev wants to enact minor economical changes and transfer parts of federal power from the centre to the individual Soviet republics. Will he succeed?;
EVT_889155_OPTIONA;Who knows?;
EVT_889163_NAME;The fraction of New-leninism;
EVT_889163_DESC;Since the birth of the Soviet Union the VKP(b) hasn`t changed its political program. Leonid Brezhnev wants to enact minor economical changes and transfer parts of federal power from the centre to the individual Soviet republics. Will he succeed?;
EVT_889163_OPTIONA;Who knows?;
EVT_889156_NAME;Beria finds friends.;
EVT_889156_DESC;The NKVD is trying to find information about internal plots aimed against the Soviet Union. The chief of the NKVD, Vladimir Dekanozov, is a good friend of Lavrentij Beria. Nobody knows about what their plans are but there are some rumours that they want to dissolve the party and partially restore capitalism.;
EVT_889156_OPTIONA;Oh no!;
EVT_889164_NAME;Yezhov finds friends.;
EVT_889164_DESC;The NKVD is trying to find information about internal plots aimed against the Soviet Union. The chief of the NKVD, Vladimir Dekanozov, is a good friend of Nikolai Yezhov. Nobody knows about what their plans are but there are some rumours that they want to dissolve the party and partially restore capitalism.;
EVT_889164_OPTIONA;Oh no!;
EVT_889157_NAME;The XII congress of 1948!;
EVT_889157_DESC;Today the XII congress of VKP(b) has finally begun. Different factions want to assume supreme power over the Soviet Union in order to reform the existing political and economic systems in ways they deem appropriate. What will happen at the XII congress? Which faction will gain majority?;
EVT_889157_OPTIONA;The new-Leninist faction!;
EVT_889157_OPTIONB;The NKVD arrests them all!;
EVT_889158_NAME;Marshal Tukhachevsky was killed!;
EVT_889158_DESC;Marshal Tukhachevsky was on his way to the Kremlin yesterday when an unknown terrorist threw a bomb at him, killing the marshal and himself in the process. General Meretskov has become the Provisional leader of the country for the time being but who will direct Soviet policy? The XII congress of the VKP(b), which will take place in 1948, will decide the general direction of our country.;
EVT_889158_OPTIONA;No!;
EVT_889159_NAME;The fraction of True Syndicalism;
EVT_889159_DESC;Since the birth of the Soviet Republic the VKP(b) hasn`t changed its political program. Sergey Kirov and Nikolai Shvernik want to put and end to the world revolution in order to build syndicalism in the Soviet Republic and to bring peace to the tired nation. Will they succeed?;
EVT_889159_OPTIONA;Who knows?;
EVT_889160_NAME;World Revolution fraction;
EVT_889160_DESC;After the death of Tukhachevsky various Red generals, namely Konstantin Rokossovsky and Kirill Meretskov, decided to continue in his work. The world revolution is still not finished and they want to lead the Soviet Republic in a struggle to bring syndicalism to the entire world.;
EVT_889160_OPTIONA;But the Soviet nation is tired!;
EVT_889161_NAME;The XII congress of 1948!;
EVT_889161_DESC;Today the XII congress of the VKP(b) has finally begun. Different factions want to assume supreme power over the Soviet Republic in order to reform the existing political and economic systems in ways they deem appropriate. What will happen at the XII congress? Which faction will gain majority?;
EVT_889161_OPTIONA;The Red generals faction!;
EVT_889161_OPTIONB;The true syndicalist faction!;
EVT_889165_NAME;Reorganization of the NKVD;
EVT_889165_DESC;With contra-revolutionary movements active throughout the entire Soviet state some members of SOVNARKOM are suggesting that it is time for a complete reorganization of the NKVD, renaming it the KGB, to better protect the fruits of the revolutionary movement. This organization should be able to crush any radical contra-revolutionary elements.;
EVT_889165_OPTIONA;Reform the NKVD into the KGB!;
EVT_889165_OPTIONB;The current state of the NKVD is sufficient.;
EVT_757002_NAME;Bolshevism!;
EVT_757002_DESC;The Bolsheviks have regained control over Russia! What shall Menshevik Georgia's reaction to this new workers' state be?;
EVT_757002_OPTIONA;We shall propose an alliance of proletarian nations!;
EVT_757002_OPTIONB;We send out our congratulations!;
EVT_757002_OPTIONC;The ideological gap between us is too great.;
EVT_757003_NAME;Menshevik Georgia desires an alliance;
EVT_757003_DESC;The Georgians have sent word that they consider our two states to be alike and that we should ally to promote the global cause of labour. What should we do?;
EVT_757003_OPTIONA;Of course, proletarians unite!;
EVT_757003_OPTIONB;There is to be no reconciliation between our two positions.;
EVT_757003_OPTIONC;We must annihilate these revisionists!;
EVT_757004_NAME;The success of the Russian Revolution!;
EVT_757004_DESC;After a long and bitter struggle the Russian workers have finally regained their freedom from their capitalist oppressors! It is time to help them recover and to combine our efforts to free the oppressed around the world!;
EVT_757004_OPTIONA;Offer a Cooperation treaty.;
EVT_757004_OPTIONB;Just recognize the new government.;
EVT_757005_NAME;The Americans offer us a treaty;
