#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X;
EVT_923003_DESC;The economical crisis of early 1936 has demonstrated the fragility of our current foreign trade system and the problems of our continuing relations with the German Empire. As part of the emperor's series of reforms in our country, we must rethink our diplomatic policies. Should we stick to our current approach of favouring our contacts with Germany and the Mitteleuropa system? Other powers, some as far away as Japan, also have interests in Ethiopia and would favour a deeper relationship with us. Or maybe we should listen to the excentric ideas of dr. Eshete and his Panafricanism school of thought?;;;;;;;The economical crisis of early 1936 has demonstrated the fragility of our current foreign trade system and the problems of our continuing relations with the German Empire. As part of the emperor's series of reforms in our country, we must rethink our diplomatic policies. Should we stick to our current approach of favouring our contacts with Germany and the Mitteleuropa system? Other powers, some as far away as Japan, also have interests in Ethiopia and would favour a deeper relationship with us. Or maybe we should listen to the excentric ideas of dr. Eshete and his Panafricanism school of thought?;;;;x
# Russo-Japaneese war text;;;;;;;;;;;x;
RvsJ_event50_name;Russian strategic victory;;;;;;;Russian strategic victory;;;x;
RvsJ_event50_desc;Nobody has forseen, that our victory will be so rapid and decisive. Although we canot make landing on Japan itself, we have succesfully deprived Japan of teritory and influence on mainland Asia. Peace with Japan empire that follows will cement position of the Russian empire as dominant player in the eastern part of Asia. After this victory nothing seems impossible for the growing Russian empire...;;;;;;;Nobody has forseen, that our victory will be so rapid and decisive. Although we canot make landing on Japan itself, we have succesfully deprived Japan of teritory and influence on mainland Asia. Peace with Japan empire that follows will cement position of the Russian empire as dominant player in the eastern part of Asia. After this victory nothing seems impossible for the growing Russian empire...;;;x;
RvsJ_actionname50A;Russia is invincible !;;;;;;;Russia is invincible !;;;x;
RvsJ_event51_name;Russian marginal victory;;;;;;;Russian marginal victory;;;x;
RvsJ_event51_desc;Although we were able to capture several important strongpoints, japan resistance was too strong to achieve victories, that were envised by the planners in Petrograd. Peace that follows will allow us to annex Primorsk, but Sakhalin and Kuriles island as well as rest of Japan mainland possesion remains out of our grasp. New war in Asia is looming on the horizont.....;;;;;;;Although we were able to capture several important strongpoints, japan resistance was too strong to achieve victories, that were envised by the planners in Petrograd. Peace that follows will allow us to annex Primorsk, but Sakhalin and Kuriles island as well as rest of Japan mainland possesion remains out of our grasp. New war in Asia is looming on the horizont.....;;;x;
RvsJ_actionname51A;It is still victory;;;;;;;It is still victory;;;x;
RvsJ_event54_name;Japan strategic victory;;;;;;;Japan strategic victory;;;x;
RvsJ_event54_desc;Just like our fathers 40 years ago, we have crushed army of the russian empire. Peace that follow will be a deep humiliation of the Russian empire, which is forced to cede large teritory to our loyal ally Primorsk. Remaining russian teritory east of lake Bajkal is declared demilitarized zone and with Russia once again engulfed by the fire of revolution there is nothing to fear from them. Our domination in pacific remain uncontested.......;;;;;;;Just like our fathers 40 years ago, we have crushed army of the russian empire. Peace that follow will be a deep humiliation of the Russian empire, which is forced to cede large teritory to our loyal ally Primorsk. Remaining russian teritory east of lake Bajkal is declared demilitarized zone and with Russia once again engulfed by the fire of revolution there is nothing to fear from them. Our domination in pacific remain uncontested.......;;;x;
RvsJ_actionname54A;Banzai ! Banzai !;;;;;;;Banzai ! Banzai !;;;x;
RvsJ_event55_name;Japan marginal victory;;;;;;;Japan marginal victory;;;x;
RvsJ_event55_desc;Our properly prepared defences in Primorsk slowed down russian army, allowing us to bring more forces for counterattack, which drove russian from Primorsk. But further advance was stopped by large russian reienforcements. Peace that follows will cement status quo, which means our domination in eastern Asia continues....;;;;;;;Our properly prepared defences in Primorsk slowed down russian army, allowing us to bring more forces for counterattack, which drove russian from Primorsk. But further advance was stopped by large russian reienforcements. Peace that follows will cement status quo, which means our domination in eastern Asia continues....;;;x;
RvsJ_actionname55A;It is still victory;;;;;;;It is still victory;;;x;
RvsJ_event32_name;Evacuation of Sakhalin;;;;;;;Evacuation of Sakhalin;;;x;
RvsJ_event32_desc;With crushing defeat of our fleet, we can not hope to secure or even hold our bridgeheads on Sakhalin. What remains of our naval forces will evacuate our troops while we are still able to do so...;;;;;;;With crushing defeat of our fleet, we can not hope to secure or even hold our bridgeheads on Sakhalin. What remains of our naval forces will evacuate our troops while we are still able to do so...;;;x;
RvsJ_actionname32A;Evacuate Sakhalin !;;;;;;;Evacuate Sakhalin !;;;x;
RvsJ_event33_name;Russia abandons Sakhalin;;;;;;;Russia abandons Sakhalin;;;x;
RvsJ_event33_desc;With our glorious navy utterly anhilating russian navy, russian troops on Sakhalin were left in complete isolation. To prevent their total destruction russians have begun to evacuate them on mainland.....;;;;;;;With our glorious navy utterly anhilating russian navy, russian troops on Sakhalin were left in complete isolation. To prevent their total destruction russians have begun to evacuate them on mainland.....;;;x;
RvsJ_actionname33A;Excellent !;;;;;;;Excellent !;;;x;
RvsJ_event30_name;;;;;;;;;;;x;
RvsJ_event30_desc;;;;;;;;;;;x;
RvsJ_actionname30A;;;;;;;;;;;x;
RvsJ_event31_name;;;;;;;;;;;x;
RvsJ_event31_desc;;;;;;;;;;;x;
RvsJ_actionname31A;;;;;;;;;;;x;
RvsJ_event34_name;Primorsk begs for peace;;;;;;;Primorsk begs for peace;;;x;
RvsJ_event34_desc;"Our string of victories have brought us definite results. The leadership of Primorsk, afraid of their fate are offering complete surrender of their armed forces before the Russian empire. This is a great victory for our armed forces...""";;;;;;;"Our string of victories have brought us definite results. The leadership of Primorsk, afraid of their fate are offering complete surrender of their armed forces before the Russian empire. This is a great victory for our armed forces...""";;;x;
RvsJ_actionname34A;Excellent !;;;;;;;Excellent !;;;x;
RvsJ_event35_name;The Manchurian Empire begs for peace;;;;;;;The Manchurian Empire begs for peace;;;x;
RvsJ_event35_desc;Our string of victories have brought us definite results. Leadership of the Manchurian Empire, afraid of their fate are offering complete surrender of their armed forces before the Russian Empire. This is a great victory for our armed forces...;;;;;;;Our string of victories have brought us definite results. Leadership of the Manchurian Empire, afraid of their fate are offering complete surrender of their armed forces before the Russian Empire. This is a great victory for our armed forces...;;;x;
RvsJ_actionname35A;Excellent !;;;;;;;Excellent !;;;x;
RvsJ_event36_name;Fall of Changchun;;;;;;;Fall of Changchun;;;x;
RvsJ_event36_desc;The center of the revived Manchurian Empire, Changchun has been captured by our glorious armed forces. We are facing resistance from the civilian population, but we will soon take full control of the city.;;;;;;;The center of the revived Manchurian Empire, Changchun has been captured by our glorious armed forces. We are facing resistance from the civilian population, but we will soon take full control of the city.;;;x;
RvsJ_actionname36A;It won't be long now!;;;;;;;It won't be long now!;;;x;
9000021name;Create Public Works;Politique de grands travaux;Creare posti di lavoro pubblici;Crear las Obras Públicas;Arbeitsbeschaffungsmassnahmen;;;Îáùåñòâåííûå ðàáîòû;;;X;
9000021desc;Creating public works for unemployed is an expensive program that aims at creating useful job for unskilled men. It usually involves using unskilled manual labor jobs on construction projects or in factories for the creation of basic goods, where no particular skills are required. This program, even if expensive, would result not only in reducing the unemployment and therefore pleasing the population, but creating new companies under the control of the government.;;Creare posti di lavoro pubblici per i disoccupati è un programma costoso che mira alla creazione di posti di lavoro utile per le persone non qualificate. Si tratta di solito di lavoro manuale non specializzato in progetti di costruzione o nelle fabbriche per la creazione di beni di prima necessità, per i quali non siano richieste particolari competenze. Questo programma, anche se costoso, si tradurrebbe non solo nella riduzione della disoccupazione e quindi gradito alla popolazione, ma anche nella creazione di nuove imprese sotto il controllo del governo.;El Ministerio de Obras Públicas, es un ambicioso y sobretodo caro programa estatal que busca la creación de empleos para trabajadores sin experiencia, principalmente requiere mano de obra sin experiencia para labores manuales en proyectos de construcción, o en la industria, con lo que reduciría el desempleo y aumentaría el rendimiento de las empresas estatales, además de satisfacer las necesidades del pueblo.;Aus öffentlichen Mitteln geförderte Arbeitsplätze sind Teil eines Programms, das ungelernten Arbeitslosen sinnvolle Tätgikeiten verschaffen soll. Diese Tätigkeiten liegen im Produktionsbereich einfacher Güter oder bei grossen Bauvorhaben, die einen hohen Anteil an körperlicher Arbeit beinhalten. Auch wenn diese Art der Arbeitsbeschaffung teuer ist, reduziert sie die Arbeitslosigkeit im Land und verbessert dadurch die Stimmung in der gesamten Bevölkerung. ;;;Ñîçäàíèå îáùåñòâåííûõ ðàáî÷èõ ìåñò äëÿ áåçðàáîòíûõ ýòî äîðîãàÿ ïðîãðàììà, êîòîðàÿ íàïðàâëåíà íà ñîçäàíèå ïîëåçíîé íàãðóçêè äëÿ íåêâàëèôèöèðîâàííûõ ëþäåé. Ýòî îáû÷íî ñâÿçàíî ñ èñïîëüçîâàíèåì íåêâàëèôèöèðîâàííûõ ðàáî÷èõ â ðó÷íûõ îïåðàöèÿõ â ñòðîèòåëüñòâå èëè íà çàâîäàõ, ïðîèçâîäÿùèõ ïðîñòûå òîâàðû, ãäå íèêàêèõ îñîáûõ íàâûêîâ íå òðåáóåòñÿ. Ýòà ïðîãðàììà, äàæå åñëè îíà äîðîãà, ïðèâåäåò íå òîëüêî ê ñîêðàùåíèþ áåçðàáîòèöû è îòòîãî ðàäóåò íàñåëåíèå, íî è ê ñîçäàíèþ íîâûõ êîìïàíèé, íàõîäÿùèõñÿ ïîä êîíòðîëåì ïðàâèòåëüñòâà.;;;X;
9000021text;Public works create growth;La relance par l'emploi public;Posti pubblici creano crescita;Las Obras Publicas generan crecimiento;Arbeitsbeschaffungsmassnahmen schaffen Wachstum;;;Îáùåñòâåííûå Ðàáîòû ñîçäàþò ðîñò;;;X;
9000022name;Issue Currency;Battre monnaie;Emettere moneta;Imprimir Moneda;Erhöhung der Geldmenge;;;Ýìèññèÿ äåíåã;;;X;
9000022desc;Our monetary authority can print new money to solve our budget problems without having to borrow money. However, this may lead to a increase of inflation which could give some problems to our industry.;;La nostra autorità monetaria può stampare nuova moneta per risolvere i nostri problemi di bilancio, senza dover prendere in prestito denaro. Tuttavia, questo può portare ad un aumento dell'inflazione che potrebbe dare qualche problema alla nostra industria.;Nuestro Banco Nacional puede imprimir más moneda para tapar algunos problemas presupuestarios sin recurrir a préstamos de dinero. Aun así, puede llevar a un incremento inflacionario, lo que podría ser problemático para nuestra industria.;Unsere Zentralbank kann neues Geld in Umlauf bringen und so unsere Haushaltsprobleme lösen, ohne das wir Kredite aufnehmen müssen. Andererseits könnte das zu einer verstärkten Inflation führen, was unsere Industrie vor einige Probleme stellen könnte. ;;;Íàøè ôèíàíñèñòû ìîãóò íàïå÷àòàòü íîâûå äåíüãè è òåì ñàìûì ðåøèòü íàøè áþäæåòíûå ïðîáëåìû áåç âíåøíèõ çàèìñòâîâàíèé. Îäíàêî ýòî ìîæåò ïðèâåñòè ê óâåëè÷åíèþ èíôëÿöèè, êîòîðàÿ äîáàâèò ïðîáëåìû íàøåé ïðîìûøëåííîñòè. ;;;X;
9000022text;A more balanced budget;Des sous dans les caisses de l'Etat;Un bilancio più equilibrato;Por un presupuesto mas balanceado!;Ein ausgeglichener Haushalt;;;Áîëåå ñáàëàíñèðîâàííûé áþäæåò;;;X;
9000023name;Money Devaluation;Dévaluer la monnaie;Svalutazione del Denaro;Devaluación Monetaria;Geldentwertung;;;Äåâàëüâàöèÿ âàëþòû;;;X;
9000023desc;Devaluation is a reduction in the value of a currency with respect to those goods, services or other monetary units with which that currency can be exchanged. This would make our economy more competitive in foreign markets.;;La svalutazione è una riduzione del valore di una valuta nei confronti di tali beni, servizi o altre unità monetaria con cui tale moneta può essere scambiata. Questo renderebbe la nostra economia più competitiva sui mercati esteri.;La devaluación es una reducción del valor del dinero, con relación a otros bienes, servicios u otras monedas con las que se comercia. Esto puede hacer más competitiva a nuestra economía en el extranjero, pero la hace relativamente más frágil internamente…;Eine Geldentwertung ist die Reduzierung des Wertes einer Währung in Bezug auf die Waren und Dienstleistungen, die mit dieser Währung bezahlt werden. Diese Massnahme macht unsere Industrie auf dem Weltmarkt wettbewerbsfähiger.;;;Äåâàëüâàöèÿ ýòî ñíèæåíèå êóðñà íàöèîíàëüíîé âàëþòû ïî îòíîøåíèþ ê èíîñòðàííûì âàëþòàì. Äåâàëüâàöèÿ íàöèîíàëüíîé âàëþòû èñïîëüçóåòñÿ ïðàâèòåëüñòâàìè äëÿ óìåíüøåíèÿ äåôèöèòà ïëàòåæíîãî áàëàíñà ñòðàíû, ïîâûøåíèÿ êîíêóðåíòîñïîñîáíîñòè, òîâàðîâ íà ìèðîâîì ðûíêå, ñòèìóëèðîâàíèÿ âíóòðåííåãî ïðîèçâîäñòâà. Äåâàëüâàöèÿ ñïîñîáñòâóåò ðîñòó ýêñïîðòà, ïîñêîëüêó ýêñïîðòåð ïðè îáìåíå âûðó÷åííîé èíîñòðàííîé âàëþò òû íà ñâîþ îáåñöåíåííóþ âàëþòó ïîëó÷àåò äåâàëüâàöèîííûé äîõîä.;;;X;
9000023text;A more competitive economy;Un boost de compétitivité;Un'economia più competitiva;Por una economía mas competitiva;Eine wettbewerbsfähigere Wirtschaft;;;Áîëåå êîíêóðåíòîñïîñîáíàÿ ýêîíîìèêà;;;X;
9000024name;Rationing;Rationnement;Razionamento;Racionamiento;Rationierung;;;Íîðìèðîâàíèå;;;X;
9000024desc;Rationing is the controlled distribution of scarce resources in times of war. Our population will be given ration coupons allowing them to purchase a certain amount of a product each month. Rationing often includes food and other necessities for which there is a shortage, including materials needed for the war effort such as rubber tires, leather shoes, clothing and gasoline.;;Il razionamento è la distribuzione controllata di risorse scarse in tempo di guerra. Alla nostra popolazione verrnno date tessere annonarie consentendo loro di acquistare una certa quantità di prodotto ogni mese. Il razionamento spesso include cibo e altre beni necessari per le quali c'è una carenza, compresi i materiali necessari per lo sforzo bellico come pneumatici di gomma, scarpe di pelle, vestiti e benzina.;El racionamiento es el control de recursos básicos en tiempos de escasez o Guerra. Se distribuirán entre nuestra población cartillas de racionamiento, donde se especificara lo que cada uno puede comprar por mes. Entre los productos racionables esta la comida, materiales necesarios para la guerra como caucho, ropa, cuero y combustible que serán destinados al esfuerzo de guerra o para reducir la escasez.;Rationierung ist die kontrollierte Verteilung knapper Ressourcen im Kriegsfall. Die Bevölkerung erhält Marken, die zum Bezug eines bestimmten Produktes für einen definierten Zeitraum berechtigen. Oftmals beinhaltet Rationierung auch Lebensmittel oder Materialien, die für die Kriegswirtschaft wichtig sind. Dazu gehören Beispielsweise Gummireifen., Lederschuhe, Treibstoff und ähnliches.;;;Íîðìèðîâàíèå ýòî êîíòðîëèðóåìîå ðàñïðåäåëåíèå äåôèöèòíûõ ðåñóðñîâ âî âðåìÿ âîéíû. Íàøåìó íàñåëåíèþ áóäóò ïðåäîñòàâëåíû êàðòî÷êè, ïîçâîëÿþùèå èì ïðèîáðåòàòü îïðåäåëåííîå êîëè÷åñòâî ïðîäóêòà êàæäûé ìåñÿö. Íîðìèðîâàíèå ÷àñòî âêëþ÷àåò â ñåáÿ ïðîäóêòû ïèòàíèÿ è äðóãèå ïðåäìåòû ïåðâîé íåîáõîäèìîñòè, íà êîòîðûå ñóùåñòâóåò äåôèöèò, â òîì ÷èñëå ìàòåðèàëû, íåîáõîäèìûå äëÿ âîåííîé ýêîíîìèêè, òàêèå êàê ðåçèíîâûå øèíû, êîæàíûå áîòèíêè, îäåæäà è áåíçèí.;;;X;
9000024text;War times;C'est la guerre;Tempi di Guerra;Así es la Guerra, dame mi cartilla...;Kriegszeiten;;;Âîåííûå âðåìåíà;;;X;
9000025name;Allow Foreign Volunteers;Légion Etrangère;Arruolare volontari stranieri;Permitir Voluntarios Extranjeros;Ausländische Freiwillige zulassen;;;Äîïóñòèòü èíîñòðàííûõ äîáðîâîëüöåâ;;;X;
9000025desc;By allowing foreign volunteers in our army, we can increase the number of recruits and the quantity of available manpower. However, this decision can also lead to problems as these foreign recruits may have troubles integrating in our armies. Moreover, as foreigners they may not be trusted by other soldiers and this could lower the morale of our units.;;Arruolando volontari stranieri nel nostro esercito, possiamo aumentare il numero di reclute e la quantità di manodopera disponibile. Tuttavia, questa decisione può portare a problemi;Permitiendo voluntarios extranjeros en nuestro ejército, podemos incrementar el número de recursos humanos disponibles. Pero podría traernos problemas si esos nuevos reclutas tienen dificultades para integrarse al ejército y como extranjeros, deberán ganarse la confianza de nuestros soldados, lo que podría afectar la moral de combate…;Wenn wir Ausländern gestatten, sich unseren Streitkräften anzuschliessen, erhöhen wir die Zahl der Rekruten. Diese Entscheidung bedeutet aber auch, daß diese Ausländer in unsere Truppen integriert werden müssen. Sollten diese Ausländer aufgrund von Hautfarbe, Rasse, Sprache oder Religion nicht integriert werden können, würde das die Moral der Truppe insgesamt schwächen. ;;;Äîïóñêàÿ èíîñòðàííûõ äîáðîâîëüöåâ â íàøó àðìèþ, ìû ñìîæåì óâåëè÷èòü ÷èñëî íîâîáðàíöåâ è êîëè÷åñòâî äîñòóïíûõ ëþäñêèõ ðåñóðñîâ. Îäíàêî ýòî ðåøåíèå òàêæå ìîæåò ïðèâåñòè ê ïðîáëåìàì, òàê êàê ýòè èíîñòðàííûå íîâîáðàíöû ìîãóò èìåòü íåóäîáñòâà ïðè èíòåãðàöèè â íàøó àðìèþ. Êðîìå òîãî, êàê èíîñòðàíöû, èì ìîãóò íå äîâåðÿòü äðóãèå ñîëäàòû, à ýòî ìîæåò ñíèçèòü ìîðàëüíûé äóõ íàøèõ ïîäðàçäåëåíèé.;;;X;
9000025text;Long live the Foreign Legion!;Vive la Légion Etrangère !;Viva la legione straniera!;A mi la Legión!!!;Lang lebe die Fremdenlegion;;;Ñëàâà Èíîñòðàííîìó Ëåãèîíó!;;;X;
9000026name;Purchase Licensed Unit;Commander une unité sous licence;Acquisto Unità in licenza;Comprar Unidad Licenciada;Lizensierte Ausrüstung kaufen;;;Êóïèòü ëèöåíçèîííóþ òåõíèêó;;;X;
9000026desc;Purchasing licensed units means equipping our armies with vehicles sold by other countries instead of those produced by our own industry. This is a quick solution to equip new units with materials that our industry is not able to build or doesn't have the time to.;;Acquistare su licenza, cioè dotare le unità del nostro esercito con veicoli venduti da altri paesi invece di quelli prodotti dalla nostra industria. Questa è una soluzione rapida per dotare le nuove unità con materiali che la nostra industria non è in grado, o non ha il tempo, di costruire.;Comprar unidades licenciadas significa equipar a nuestras tropas con equipo extranjero (comprado claro está), en vez de producirlo en nuestra industria, es una solución rápida para equiparnos con materiales fuera de nuestro alcance industrial o por si no queremos esperar.;Lizensierte Ausrüstung zu kaufen bedeutet, daß wir Ausrüstung einkaufen, um unsere Truppen damit auszurüsten. Diese Entscheidung kann notwendig werden, wenn unsere eigene Industrie diese Ausrüstungsgegenstände nicht selber herstellen kann oder einfach mit anderen Aufgaben zu sehr ausgelastet ist.;;;Êóïèòü ëèöåíçèîííóþ òåõíèêó îçíà÷àåò îñíàñòèòü íàøè àðìèè âîîðóæåíèåì, ïðîäàííûì íàì äðóãèìè ñòðàíàìè âìåñòî ïðîèçâåäåííûõ íàøåé ïðîìûøëåííîñòüþ. Ýòî áûñòðîå ðåøåíèå äëÿ îñíàùåíèÿ íîâûõ ïîäðàçäåëåíèé òåõíèêîé, êîòîðóþ íàøà ïðîìûøëåííîñòü èëè íå ìîæåò ïðîèçâåñòè èëè ó íåå íà ýòî íåò âðåìåíè.;;;X;
9000026a;Motorized division;Division motorisée;Divisione motorizzata;Traer una División Motorizada;Motorisierte Division;;;Ìîòîðèçîâàííàÿ äèâèçèÿ;;;X;
9000026b;Armor division;Division blindée;Divisione Corazzata;Comprar unos buenos Tanques;Panzerdivision;;;Òàíêîâàÿ äèâèçèÿ;;;X;
9000026c;Interceptors wing;Escadrille d'intercepteurs;Squadrone di Intercettori;Necesitamos Interceptores;Abfangjäger;;;Áðèãàäà ïåðåõâàò÷èêîâ;;;X;
9000026d;Tactical bombers wing;Escadrilles de bombardiers;Squadrone di Bomb. Tattici;Como brillan esos Bombarderos Tacticos;Taktische Bomber;;;Áðèãàäà òàêòè÷åñêèõ áîìáàðäèðîâùèêîâ;;;X;
9000027name;Press Censorship;Censure de la presse;Censura della stampa;Censura de Prensa;Zensur;;;Öåíçóðà ïðåññû;;;X;
9000027desc;We can enforce censorship in the press to hold back information from our citizens that may harm our government. Thanks to this we can exert control over the population and prevent free expression that might foment rebellion.;;Siamo in grado di imporre la censura sulla stampa, per trattenere le informazioni che possono danneggiare il nostro governo lontane dai nostri cittadini. Grazie a questo siamo in grado di esercitare il controllo sulla popolazione e impedire la libera espressione che potrebbe fomentare la ribellione.;Podemos reforzar la censura de prensa para evitar la filtración de informaciones que pueden dañar el esfuerzo de Guerra o la estabilidad del gobierno. Gracias a esto nos ahorraremos posibles brotes de rebelión pagando con un poco de libre expresión.;Wir können die Pressefreiheit beschneiden, um unseren Bürgern Zugang zu der Art Informationen zu verweigern, die unserer Regierung schaden würden. Auf diese Weise können wir die KOntrolle über unsere eigene Bevölkerung vergrössern und so Aufständen vorbeugen.;;;Ìû ìîæåì ââåñòè öåíçóðó ïðåññû äëÿ êîíòðîëÿ ïå÷àòàþùåéñÿ èíôîðìàöèè, êîòîðàÿ ìîæåò ïîâðåäèòü íàøåìó ïðàâèòåëüñòâó. Áëàãîäàðÿ ýòîìó ìû áóäåì ñïîñîáíû âëèÿòü íà íàñåëåíèå è ïðåäîòâðàùàòü áðîæåíèå óìîâ, êîòîðîå ìîæåò ïðèâåñòè ê âîëíåíèÿì.;;;X;
9000027text;Newspapers are anti-patriotic;C'est de la propagande anti-patriotique;I giornali sono anti-patriottici;Los Periodicos son un nido de Traidores!!!;Zeitungen sind unpatriotisch;;;Ãàçåòû íåïàòðèîòè÷íû;;;X;
9000028name;War Propaganda;Propagande de guerre;Propaganda bellica;Propaganda de Guerra;Kriegspropaganda;;;Âîåííàÿ ïðîïàãàíäà;;;X;
9000028desc;The aim of war propaganda is to influence the attitude of our population toward the war. This should make them stand united to support our government and endure the hardness of war.;;L'obiettivo della propaganda di guerra è quello di influenzare l'atteggiamento della popolazione verso la guerra. Questo dovrebbe farli stare uniti per sostenere il nostro governo e sopportare la durezza della guerra.;El fin de la propaganda de Guerra es influir positivamente en la actitud de los ciudadanos ante la Guerra, esto los mantendrá unidos para apoyar las decisiones del gobierno y para resistir los embates de una dura guerra..;Das Ziel der Kriegspropaganda ist, die Akzeptanz des Krieges in der eigenen Bevölkerung zu erhöhen. Eine erfolgreiche Propaganda erhöht das Gemeinschaftsgefühl der Bevölkerung und seine Bereitschaft, kriegsbedingte Härten zu akzeptieren. ;;;Öåëü âîåííîé ïðîïàãàíäû çàêëþ÷àåòñÿ â óâåëè÷åíèè âîèíñòâåííîãî äóõà íàøåãî íàñåëåíèÿ. Ýòî ïîçâîëèò îáúåäèíèòü âñåõ âîêðóã íàøåãî ïðàâèòåëüñòâà è âûòåðïåòü ëèøåíèÿ âîéíû.;;;X;
9000028text;United we will win;Unis nous vaincrons;Uniti vinceremo;Acompañar la propaganda con marchas patrioticas.;Vereint werden wir siegen;;;Âìåñòå ìû ïîáåäèì;;;X;
9000029name;Ersatz Conversion;Conversion de matériaux ersatz;Conversione Ersatz;Conversion de Materiales Ersatz;Ersatzstoffe;;;Ïðîèçâîäñòâî çàìåíèòåëåé;;;X;
9000029desc;Instead of acquiring the materials that we need for our industry from other countries, we can choose to produce them on our own. The Ersatz Conversion is a costly process to produce materials that we need when we are facing a shortage of them.;;Invece di acquisire il materiale di cui abbiamo bisogno per il nostro settore in altri Paesi, possiamo scegliere di produrli da soli. La conversione Ersatz è un processo costoso per produrre materiali di cui abbiamo bisogno quando ci troviamo di fronte a una carenza di essi.;En vez de importar grandes cantidades de materiales desde el extranjero, podemos producirlos por nuestra cuenta con un proceso de sustitución (Ersatz). Las conversiones Ersatz son costosas pero permiten producir materiales industriales, de los que estamos muy escasos. Pero también los nuevos cafés hechos de granos de frijol o los tés de hierba gatera, saben horrible…;Anstatt industrie- und kriegswichtige Materialien aus anderen Staaten einzuführen, können wir uns entscheiden, diese selbst herzustellen. Zwar ist die Entwicklung und Herstellung von Ersatzstoffen zeit- und kostspielig, in manchen Fällen aber unumgänglich. ;;;Âìåñòî ïðèîáðåòåíèÿ ó äðóãèõ ñòðàí ìàòåðèàëîâ, êîòîðûå íåîáõîäèìû íàøåé ïðîìûøëåííîñòè, ìû ìîæåì âûáðàòü âàðèàíò ïðîèçâîäñòâà èõ ñîáñòâåííûìè ñèëàìè. Ïðîèçâîäñòâî çàìåíèòåëåé ýòî äîðîãîñòÿùèé ïðîöåññ ïðîèçâîäñòâà ìàòåðèàëîâ êîòîðûå íàì íåîáõîäèìû êîãäà ìû èñïûòûâàåì äåôèöèò.;;;X;
9000029text;We are a self-sufficient nation!;Nous sommes auto-suffisants !;Siamo una nazione autosufficiente!;Somos una nación autosuficiente!!! pero sin un café decente...;Wir versorgen uns selbst;;;Ìû ñàìîäîñòàòî÷íàÿ íàöèÿ!;;;X;
9000030name;Invest in National Infrastructures;Investir dans les infrastructures nationales;Investire in infrastrutture nazionali;Invertir en la Infraestructura Nacional;Investitionen in die Infrastruktur;;;Èíâåñòèöèè â Íàöèîíàëüíóþ Èíôðàñòðóêòóðó;;;X;
9000030desc;By investing in infrastructures, we're going to extend our road and railroad networks. This is will not only help and plese the population, but it will also increase our capacity of transferring men and supplies for the Army in case of war.;;Investendo nelle infrastrutture, andiamo ad estendere la nostra rete stradale e ferroviaria. Questo non solo aiutare la popolazione, ma anche per aumentare la nostra capacità di trasferire uomini e rifornimenti per l'esercito in caso di guerra.;Al Invertir en nuestra infraestructura, extenderemos y modernizaremos nuestra red de autopistas y ferrocarriles, esto no solo entusiasmara a nuestros ciudadanos, también mejorara nuestra capacidad de transporte de hombres y materiales en casos de emergencia, como en una Guerra.;Durch Investitionen in die Infrastruktur erweitern wir unser Strassen- und Schiennetz. Das wird nicht nur der Bevölkerung helfen und gefallen, es vergrössert auch unsere Transportkapazitäten für mitlitärische Güter und unsere Truppen im Falle eines Krieges.;;;Èíâåñòèðóÿ â èíôðàñòðóêòóðó ìû ðàñøèðÿåì íàøó äîðîæíóþ è æåëåçíîäîðîæíûå ñåòè. Ýòî íå òîëüêî ïîìîæåò è ïîðàäóåò íàøå íàñåëåíèå , íî è óâåëè÷èòü íàøè ñïîñîáíîñòè â ïåðåâîçêå âîéñê è ïðèïàñîâ äëÿ íàøåé àðìèè â ñëó÷àå âîéíû.;;;X;
9000030a;Limited investment;Plan d'investissement modeste;Investimenti limitati;Pequeña Inversión;Begrenzte Inverstitionen;;;Îãðàíè÷åííûå èíâåñòèöèè;;;X;
9000030b;Substantial investment;Plan d'investissement important;;;;;;Substantial investment;;;X;
9000030c;Comprehensive investment;Grand plan d'investissement;Grandi investimenti;Gastar lo que sea necesario;Grosse Investitionen;;;Áîëüøèå èíâåñòèöèè;;;X;
9000031name;Invest in National Research;Investir dans la recherche nationale;Investire nella ricerca nazionale;Invertir en nuestros Centros Tecnologicos;Investitionen in Wissenschaft und Technik;;;Èíâåñòèöèè â Íàöèîíàëüíûå Èññëåäîâàíèÿ;;;X;
