##;ENG;FRA;ITA;SPA;GER;POL;;RUS;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(Embarked);;;x
PROV2395;Aleutian Trench;Aleutian Trench;Aleutian Trench;Aleutian Trench;Aleutian Trench;Aleutian Trench;;Алеутский желоб;;;X
PROV2396;Aleutian Archipelago;Aleutian Archipelago;Aleutian Archipelago;Aleutian Archipelago;Aleutian Archipelago;Aleutian Archipelago;;Алеутские острова;;;X
PROV2397;Gulf of Alaska;Gulf of Alaska;Gulf of Alaska;Gulf of Alaska;Gulf of Alaska;Gulf of Alaska;;Аляскинский залив;;;X
PROV2398;Tufts Plain;Tufts Plain;Tufts Plain;Tufts Plain;Tufts Plain;Tufts Plain;;плато Тафтса;;;X
PROV2399;Cornstock Seamount;Cornstock Seamount;Cornstock Seamount;Cornstock Seamount;Cornstock Seamount;Cornstock Seamount;;гора Корнсток;;;X
PROV2400;North Pacific Basin;North Pacific Basin;North Pacific Basin;North Pacific Basin;North Pacific Basin;North Pacific Basin;;Север Тихого океана;;;X
PROV2401;West Mendocino Fracture Zone;West Mendocino Fracture Zone;West Mendocino Fracture Zone;West Mendocino Fracture Zone;West Mendocino Fracture Zone;West Mendocino Fracture Zone;;Западная зона разлома Мендосино;;;X
PROV2402;Bering Straits;Bering Straits;Bering Straits;Bering Straits;Bering Straits;Bering Straits;;Берингов пролив;;;X
PROV2403;Bristol Bay;Bristol Bay;Bristol Bay;Bristol Bay;Bristol Bay;Bristol Bay;;Бристольский залив;;;X
PROV2404;Bering Sea;Bering Sea;Bering Sea;Bering Sea;Bering Sea;Bering Sea;;Берингово море;;;X
PROV2405;Bowers Basin;Bowers Basin;Bowers Basin;Bowers Basin;Bowers Basin;Bowers Basin;;море Бауэра;;;X
PROV2406;Commodore Islands;Commodore Islands;Commodore Islands;Commodore Islands;Commodore Islands;Commodore Islands;;Коммандорские острова;;;X
PROV2407;East Kamchatka Coast;East Kamchatka Coast;East Kamchatka Coast;East Kamchatka Coast;East Kamchatka Coast;East Kamchatka Coast;;Восточное побережье Камчатки;;;X
PROV2408;Kuril Trench;Kuril Trench;Kuril Trench;Kuril Trench;Kuril Trench;Kuril Trench;;Курило-Камчатский желоб;;;X
PROV2409;Kamchatka Basin;Kamchatka Basin;Kamchatka Basin;Kamchatka Basin;Kamchatka Basin;Kamchatka Basin;;Берингово море;;;X
PROV2410;Hess Rise;Hess Rise;Hess Rise;Hess Rise;Hess Rise;Hess Rise;;желоб Гесса;;;X
PROV2411;Emperor Trough;Emperor Trough;Emperor Trough;Emperor Trough;Emperor Trough;Emperor Trough;;Императорский проход;;;X
PROV2412;Emperor Ridge;Emperor Ridge;Emperor Ridge;Emperor Ridge;Emperor Ridge;Emperor Ridge;;Императорский желоб;;;X
PROV2413;Northwest Pacific Basin;Northwest Pacific Basin;Northwest Pacific Basin;Northwest Pacific Basin;Northwest Pacific Basin;Northwest Pacific Basin;;Северо-запад Тихого океана;;;X
PROV2414;Wake Island;Wake Island;Wake Island;Wake Island;Wake Island;Wake Island;;остров Уэйк;;;X
PROV2415;Bonin Trench;Bonin Trench;Bonin Trench;Bonin Trench;Bonin Trench;Bonin Trench;;Бонинский желоб;;;X
PROV2416;Marcus Island;Marcus Island;Marcus Island;Marcus Island;Marcus Island;Marcus Island;;остров Маркус;;;X
PROV2417;Western Mid Pacific Ridges;Western Mid Pacific Ridges;Western Mid Pacific Ridges;Western Mid Pacific Ridges;Western Mid Pacific Ridges;Western Mid Pacific Ridges;;Запад Срединно-Тихоокеанского хребта;;;X
PROV2418;West Pacific Ocean;West Pacific Ocean;West Pacific Ocean;West Pacific Ocean;West Pacific Ocean;West Pacific Ocean;;Запад Тихого океана;;;X
PROV2419;Eastern Mid Pacific Ridge;Eastern Mid Pacific Ridge;Eastern Mid Pacific Ridge;Eastern Mid Pacific Ridge;Eastern Mid Pacific Ridge;Eastern Mid Pacific Ridge;;Восточный Срединно-Тихоокеанский хребет;;;X
PROV2420;Japan Trench;Japan Trench;Japan Trench;Japan Trench;Japan Trench;Japan Trench;;Японский желоб;;;X
PROV2421;Bounty Trough;Bounty Trough;Bounty Trough;Bounty Trough;Bounty Trough;Bounty Trough;;Баунти-Тру;;;X
PROV2422;Barkert Seamount;Barkert Seamount;Barkert Seamount;Barkert Seamount;Barkert Seamount;Barkert Seamount;;гора Баркерт;;;X
PROV2423;West Eltanin Fracture Zone;West Eltanin Fracture Zone;West Eltanin Fracture Zone;West Eltanin Fracture Zone;West Eltanin Fracture Zone;West Eltanin Fracture Zone;;Западная зона разлома Элтанин;;;X
PROV2424;Marshall Islands;Marshall Islands;Marshall Islands;Marshall Islands;Marshall Islands;Marshall Islands;;Маршалловы острова;;;X
PROV2425;Ratak Islands;Ratak Islands;Ratak Islands;Ratak Islands;Ratak Islands;Ratak Islands;;цепь Ратак;;;X
PROV2426;East Mariana Basin;East Mariana Basin;East Mariana Basin;East Mariana Basin;East Mariana Basin;East Mariana Basin;;Восток Марианского моря;;;X
PROV2427;East Melanesian Basin;East Melanesian Basin;East Melanesian Basin;East Melanesian Basin;East Melanesian Basin;East Melanesian Basin;;Восток Меланезийского моря;;;X
PROV2428;West Melanesian Basin;West Melanesian Basin;West Melanesian Basin;West Melanesian Basin;West Melanesian Basin;West Melanesian Basin;;Запад Меланезийского моря;;;X
PROV2429;Ratik Islands;Ratik Islands;Ratik Islands;Ratik Islands;Ratik Islands;Ratik Islands;;цепь Ралик;;;X
PROV2430;Strait of Gibraltar;Strait of Gibraltar;Strait of Gibraltar;Strait of Gibraltar;Strait of Gibraltar;Strait of Gibraltar;;Гибралтарский пролив;;;X
PROV2431;Necker Ridge;Necker Ridge;Necker Ridge;Necker Ridge;Necker Ridge;Necker Ridge;;хребет Неккера;;;X
PROV2432;Vitiaz Trench;Vitiaz Trench;Vitiaz Trench;Vitiaz Trench;Vitiaz Trench;Vitiaz Trench;;пролив Витязь;;;X
PROV2433;Nauru Island;Nauru Island;Nauru Island;Nauru Island;Nauru Island;Nauru Island;;остров Науру;;;X
PROV2434;Fiji Islands;Fiji Islands;Fiji Islands;Fiji Islands;Fiji Islands;Fiji Islands;;острова Фиджи;;;X
PROV2435;Gilbert Islands;Gilbert Islands;Gilbert Islands;Gilbert Islands;Gilbert Islands;Gilbert Islands;;острова Гилберта;;;X
PROV2436;Tuvalu Islands;Tuvalu Islands;Tuvalu Islands;Tuvalu Islands;Tuvalu Islands;Tuvalu Islands;;острова Тувалу;;;X
PROV2437;Central Gilberts;Central Gilberts;Central Gilberts;Central Gilberts;Central Gilberts;Central Gilberts;;Центральные острова Гилберта;;;X
PROV2438;Loyalty Islands;Loyalty Islands;Loyalty Islands;Loyalty Islands;Loyalty Islands;Loyalty Islands;;острова Луайоте;;;X
PROV2439;Eastern Solomons;Eastern Solomons;Eastern Solomons;Eastern Solomons;Eastern Solomons;Eastern Solomons;;Восточные Соломоновы острова;;;X
PROV2440;Cape St George;Cape St George;Cape St George;Cape St George;Cape St George;Cape St George;;мыс Св. Георгия;;;X
PROV2441;New Hebrides Islands;New Hebrides Islands;New Hebrides Islands;New Hebrides Islands;New Hebrides Islands;New Hebrides Islands;;острова Новые Гебриды;;;X
PROV2442;Santa Cruz Islands;Santa Cruz Islands;Santa Cruz Islands;Santa Cruz Islands;Santa Cruz Islands;Santa Cruz Islands;;острова Санта-Крус;;;X
PROV2443;New Hebrides Trench;New Hebrides Trench;New Hebrides Trench;New Hebrides Trench;New Hebrides Trench;New Hebrides Trench;;Новогебридский желоб;;;X
PROV2444;Coast of Queensland;Coast of Queensland;Coast of Queensland;Coast of Queensland;Coast of Queensland;Coast of Queensland;;побережье Квинсленда;;;X
PROV2445;Queensland Plateau;Queensland Plateau;Queensland Plateau;Queensland Plateau;Queensland Plateau;Queensland Plateau;;плато Квинсленд;;;X
PROV2446;Coral Sea;Coral Sea;Coral Sea;Coral Sea;Coral Sea;Coral Sea;;Коралловое море;;;X
PROV2447;Milne Bay;Milne Bay;Milne Bay;Milne Bay;Milne Bay;Milne Bay;;залив Милна;;;X
PROV2448;Cape Flattery;Cape Flattery;Cape Flattery;Cape Flattery;Cape Flattery;Cape Flattery;;мыс Флаттери;;;X
PROV2449;Wellesley Islands;Wellesley Islands;Wellesley Islands;Wellesley Islands;Wellesley Islands;Wellesley Islands;;острова Уэлсли;;;X
PROV2450;Torres Strait;Torres Strait;Torres Strait;Torres Strait;Torres Strait;Torres Strait;;Торресов пролив;;;X
PROV2451;Great Barrier Reef;Great Barrier Reef;Great Barrier Reef;Great Barrier Reef;Great Barrier Reef;Great Barrier Reef;;Большой Барьерный риф;;;X
PROV2452;Eastern Fields;Eastern Fields;Eastern Fields;Eastern Fields;Eastern Fields;Eastern Fields;;Истерн-Филдс;;;X
PROV2453;Suez Canal;Suez Canal;Suez Canal;Suez Canal;Suez Canal;Suez Canal;;Суэцкий канал;;;X
PROV2454;Gulf of Carpentaria;Gulf of Carpentaria;Gulf of Carpentaria;Gulf of Carpentaria;Gulf of Carpentaria;Gulf of Carpentaria;;залив Карпентария;;;X
PROV2455;Solomon Sea;Solomon Sea;Solomon Sea;Solomon Sea;Solomon Sea;Solomon Sea;;Соломоново море;;;X
PROV2456;Solomon Islands;Solomon Islands;Solomon Islands;Solomon Islands;Solomon Islands;Solomon Islands;;Соломоновы острова;;;X
PROV2457;San Cristobal Trench;San Cristobal Trench;San Cristobal Trench;San Cristobal Trench;San Cristobal Trench;San Cristobal Trench;;желоб Сан-Кристобаль;;;X
PROV2458;St. George's Channel;St. George's Channel;St. George's Channel;St. George's Channel;St. George's Channel;St. George's Channel;;пролив Св. Георгия;;;X
PROV2459;Huon Gulf;Huon Gulf;Huon Gulf;Huon Gulf;Huon Gulf;Huon Gulf;;залив Юона;;;X
PROV2460;Trobriand Islands;Trobriand Islands;Trobriand Islands;Trobriand Islands;Trobriand Islands;Trobriand Islands;;острова Тробриан;;;X
PROV2461;Irian Bay;Irian Bay;Irian Bay;Irian Bay;Irian Bay;Irian Bay;;Ирианский залив;;;X
PROV2462;Humboldt Bay;Humboldt Bay;Humboldt Bay;Humboldt Bay;Humboldt Bay;Humboldt Bay;;залив Гумбольдта;;;X
PROV2463;free;free;free;free;free;free;;Онежское озеро;;;X
PROV2464;free;free;free;free;free;free;;не используется;;;X
PROV2465;West Bismarck Sea;West Bismarck Sea;West Bismarck Sea;West Bismarck Sea;West Bismarck Sea;West Bismarck Sea;;Запад Новогвинейского моря;;;X
PROV2466;Bismarck Sea;Bismarck Sea;Bismarck Sea;Bismarck Sea;Bismarck Sea;Bismarck Sea;;Новогвинейское море;;;X
PROV2467;Admiralty Islands;Admiralty Islands;Admiralty Islands;Admiralty Islands;Admiralty Islands;Admiralty Islands;;острова Адмиралтейства;;;X
PROV2468;South Caroline Basin;South Caroline Basin;South Caroline Basin;South Caroline Basin;South Caroline Basin;South Caroline Basin;;Юш Каролинского моря;;;X
PROV2469;Bismark Archipelago;Bismark Archipelago;Bismark Archipelago;Bismark Archipelago;Bismark Archipelago;Bismark Archipelago;;архипелаг Бисмарка;;;X
PROV2470;West Caroline Basin;West Caroline Basin;West Caroline Basin;West Caroline Basin;West Caroline Basin;West Caroline Basin;;Запад Каролинского моря;;;X
PROV2471;Senyavin Islands;Senyavin Islands;Senyavin Islands;Senyavin Islands;Senyavin Islands;Senyavin Islands;;острова Сенявина;;;X
PROV2472;Mariana Trench;Mariana Trench;Mariana Trench;Mariana Trench;Mariana Trench;Mariana Trench;;Марианская впадина;;;X
PROV2473;East Caroline Basin;East Caroline Basin;East Caroline Basin;East Caroline Basin;East Caroline Basin;East Caroline Basin;;Восток Каролинского моря;;;X
PROV2474;Challenger Deep;Challenger Deep;Challenger Deep;Challenger Deep;Challenger Deep;Challenger Deep;;бездна Челленджер;;;X
PROV2475;Mariana Islands;Mariana Islands;Mariana Islands;Mariana Islands;Mariana Islands;Mariana Islands;;Марианские острова;;;X
PROV2476;Bonin Islands;Bonin Islands;Bonin Islands;Bonin Islands;Bonin Islands;Bonin Islands;;Бонинские острова;;;X
PROV2477;Izu Islands;Izu Islands;Izu Islands;Izu Islands;Izu Islands;Izu Islands;;острова Идзу;;;X
PROV2478;Yap Islands;Yap Islands;Yap Islands;Yap Islands;Yap Islands;Yap Islands;;острова Яп;;;X
PROV2479;Palau Kyushu Ridge;Palau Kyushu Ridge;Palau Kyushu Ridge;Palau Kyushu Ridge;Palau Kyushu Ridge;Palau Kyushu Ridge;;хребет Пелелиу-Кюсю;;;X
PROV2480;Daito Islands;Daito Islands;Daito Islands;Daito Islands;Daito Islands;Daito Islands;;острова Дайто;;;X
PROV2481;East Philippine Basin;East Philippine Basin;East Philippine Basin;East Philippine Basin;East Philippine Basin;East Philippine Basin;;Восток Филиппинского моря;;;X
PROV2482;Philippine Sea;Philippine Sea;Philippine Sea;Philippine Sea;Philippine Sea;Philippine Sea;;Филиппинское море;;;X
PROV2483;Palau Islands;Palau Islands;Palau Islands;Palau Islands;Palau Islands;Palau Islands;;остров Пелелиу;;;X
PROV2484;Philippine Trench;Philippine Trench;Philippine Trench;Philippine Trench;Philippine Trench;Philippine Trench;;Филиппинский желоб;;;X
PROV2485;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;Lingayen Gulf;;залив Лингаен;;;X
PROV2486;Polillo Islands;Polillo Islands;Polillo Islands;Polillo Islands;Polillo Islands;Polillo Islands;;острова Полилло;;;X
PROV2487;West Philippine Basin;West Philippine Basin;West Philippine Basin;West Philippine Basin;West Philippine Basin;West Philippine Basin;;Запад Филиппинского моря;;;X
PROV2488;Osumi Islands;Osumi Islands;Osumi Islands;Osumi Islands;Osumi Islands;Osumi Islands;;острова Осуми;;;X
PROV2489;Inland Sea;Inland Sea;Inland Sea;Inland Sea;Inland Sea;Inland Sea;;Внутреннее Японское море;;;X
PROV2490;Ryuyku Trench;Ryuyku Trench;Ryuyku Trench;Ryuyku Trench;Ryuyku Trench;Ryuyku Trench;;желоб Рюкю;;;X
PROV2491;Cape Erimo;Cape Erimo;Cape Erimo;Cape Erimo;Cape Erimo;Cape Erimo;;мыс Эримо;;;X
PROV2492;Tokyo Bay;Tokyo Bay;Tokyo Bay;Tokyo Bay;Tokyo Bay;Tokyo Bay;;Токийский залив;;;X
PROV2493;Sikhote Alin Coast;Sikhote Alin Coast;Sikhote Alin Coast;Sikhote Alin Coast;Sikhote Alin Coast;Sikhote Alin Coast;;побережье Сихотэ-Алиня;;;X
PROV2494;Cape Erimo;Cape Erimo;Cape Erimo;Cape Erimo;Cape Erimo;Cape Erimo;;мыс Эримо;;;X
PROV2495;Korea Strait;Korea Strait;Korea Strait;Korea Strait;Korea Strait;Korea Strait;;Корейский пролив;;;X
PROV2496;East Korea Bay;East Korea Bay;East Korea Bay;East Korea Bay;East Korea Bay;East Korea Bay;;Восточно-Корейский залив;;;X
PROV2497;Tsushima Strait;Tsushima Strait;Tsushima Strait;Tsushima Strait;Tsushima Strait;Tsushima Strait;;Цусимский пролив;;;X
PROV2498;Sea of Japan;Sea of Japan;Sea of Japan;Sea of Japan;Sea of Japan;Sea of Japan;;Японское море;;;X
PROV2499;Gulf of Patience;Gulf of Patience;Gulf of Patience;Gulf of Patience;Gulf of Patience;Gulf of Patience;;залив Терпения;;;X
PROV2500;Sakhaline Coast;Sakhaline Coast;Sakhaline Coast;Sakhaline Coast;Sakhaline Coast;Sakhaline Coast;;побережье Сахалина;;;X
PROV2501;La Perouse Strait;La Perouse Strait;La Perouse Strait;La Perouse Strait;La Perouse Strait;La Perouse Strait;;пролив Лаперуза;;;X
PROV2502;Tartar Strait;Tartar Strait;Tartar Strait;Tartar Strait;Tartar Strait;Tartar Strait;;Татарский пролив;;;X
PROV2503;South Sea of Okhotsk;South Sea of Okhotsk;South Sea of Okhotsk;South Sea of Okhotsk;South Sea of Okhotsk;South Sea of Okhotsk;;Юг Охотского моря;;;X
PROV2504;Kuril Islands;Kuril Islands;Kuril Islands;Kuril Islands;Kuril Islands;Kuril Islands;;Курильские острова;;;X
PROV2505;West Kamchatka Coast;West Kamchatka Coast;West Kamchatka Coast;West Kamchatka Coast;West Kamchatka Coast;West Kamchatka Coast;;Западное побережье Камчатки;;;X
PROV2506;Shelikhov Gulf;Shelikhov Gulf;Shelikhov Gulf;Shelikhov Gulf;Shelikhov Gulf;Shelikhov Gulf;;залив Шелихова;;;X
PROV2507;Cape of Elizabeth;Cape of Elizabeth;Cape of Elizabeth;Cape of Elizabeth;Cape of Elizabeth;Cape of Elizabeth;;мыс Елизаветы;;;X
PROV2508;Gulf of Uda;Gulf of Uda;Gulf of Uda;Gulf of Uda;Gulf of Uda;Gulf of Uda;;Удская губа;;;X
PROV2509;North Sea of Okhotsk;North Sea of Okhotsk;North Sea of Okhotsk;North Sea of Okhotsk;North Sea of Okhotsk;North Sea of Okhotsk;;Север Охотского моря;;;X
PROV2510;Nagayevo Bay;Nagayevo Bay;Nagayevo Bay;Nagayevo Bay;Nagayevo Bay;Nagayevo Bay;;бухта Нагаева;;;X
PROV2511;Sakishima Islands;Sakishima Islands;Sakishima Islands;Sakishima Islands;Sakishima Islands;Sakishima Islands;;острова Сакисима;;;X
PROV2512;Ryuyku Islands;Ryuyku Islands;Ryuyku Islands;Ryuyku Islands;Ryuyku Islands;Ryuyku Islands;;острова Рюкю;;;X
PROV2513;East China Sea;East China Sea;East China Sea;East China Sea;East China Sea;East China Sea;;Восточно-Китайское море;;;X
PROV2514;Hangzhou Bay;Hangzhou Bay;Hangzhou Bay;Hangzhou Bay;Hangzhou Bay;Hangzhou Bay;;Ханчжоувань;;;X
PROV2515;Formosa Strait;Formosa Strait;Formosa Strait;Formosa Strait;Formosa Strait;Formosa Strait;;Тайваньский пролив;;;X
PROV2516;Coast of Shandong;Coast of Shandong;Coast of Shandong;Coast of Shandong;Coast of Shandong;Coast of Shandong;;побережье Шаньдуна;;;X
PROV2517;Yellow Sea;Yellow Sea;Yellow Sea;Yellow Sea;Yellow Sea;Yellow Sea;;Желтое море;;;X
PROV2518;Bohai Sea;Bohai Sea;Bohai Sea;Bohai Sea;Bohai Sea;Bohai Sea;;Бохайский залив;;;X
PROV2519;Spratley Islands;Spratley Islands;Spratley Islands;Spratley Islands;Spratley Islands;Spratley Islands;;острова Спратли;;;X
PROV2520;Paracel Islands;Paracel Islands;Paracel Islands;Paracel Islands;Paracel Islands;Paracel Islands;;Парасельские острова;;;X
PROV2521;South China Sea;South China Sea;South China Sea;South China Sea;South China Sea;South China Sea;;Южно-Китайское море;;;X
PROV2522;Cape Ca Mau;Cape Ca Mau;Cape Ca Mau;Cape Ca Mau;Cape Ca Mau;Cape Ca Mau;;мыс Камау;;;X
PROV2523;Gulf of Tonkin;Gulf of Tonkin;Gulf of Tonkin;Gulf of Tonkin;Gulf of Tonkin;Gulf of Tonkin;;Тонкинский залив;;;X
PROV2524;Coast of Guangdong;Coast of Guangdong;Coast of Guangdong;Coast of Guangdong;Coast of Guangdong;Coast of Guangdong;;побережье Гуандуна;;;X
PROV2525;Bight of Bangkok;Bight of Bangkok;Bight of Bangkok;Bight of Bangkok;Bight of Bangkok;Bight of Bangkok;;Бангкокский залив;;;X
PROV2526;Gulf of Thailand;Gulf of Thailand;Gulf of Thailand;Gulf of Thailand;Gulf of Thailand;Gulf of Thailand;;Сиамский залив;;;X
PROV2527;Bunguran Islands;Bunguran Islands;Bunguran Islands;Bunguran Islands;Bunguran Islands;Bunguran Islands;;острова Бунгуран;;;X
PROV2528;Coast of Malaysia;Coast of Malaysia;Coast of Malaysia;Coast of Malaysia;Coast of Malaysia;Coast of Malaysia;;побережье Малайи;;;X
PROV2529;Bangka Island;Bangka Island;Bangka Island;Bangka Island;Bangka Island;Bangka Island;;остров Банка;;;X
PROV2530;South Malacca Strait;South Malacca Strait;South Malacca Strait;South Malacca Strait;South Malacca Strait;South Malacca Strait;;Юг Малаккского пролива;;;X
PROV2531;North Malacca Strait;North Malacca Strait;North Malacca Strait;North Malacca Strait;North Malacca Strait;North Malacca Strait;;Север Малаккского пролива;;;X
PROV2532;Tapanuli Gulf;Tapanuli Gulf;Tapanuli Gulf;Tapanuli Gulf;Tapanuli Gulf;Tapanuli Gulf;;залив Тапанули;;;X
PROV2533;Sunda Strait;Sunda Strait;Sunda Strait;Sunda Strait;Sunda Strait;Sunda Strait;;Зондский пролив;;;X
PROV2534;South Java Coast;South Java Coast;South Java Coast;South Java Coast;South Java Coast;South Java Coast;;Южное побережье Явы;;;X
PROV2535;North Java Coast;North Java Coast;North Java Coast;North Java Coast;North Java Coast;North Java Coast;;Северное побережье Явы;;;X
PROV2536;Karimata Strait;Karimata Strait;Karimata Strait;Karimata Strait;Karimata Strait;Karimata Strait;;пролив Каримата;;;X
PROV2537;Sape Strait;Sape Strait;Sape Strait;Sape Strait;Sape Strait;Sape Strait;;пролив Сапе;;;X
PROV2538;Bali Sea;Bali Sea;Bali Sea;Bali Sea;Bali Sea;Bali Sea;;Балийское море;;;X
PROV2539;South Borneo Coast;South Borneo Coast;South Borneo Coast;South Borneo Coast;South Borneo Coast;South Borneo Coast;;Южное побережье Калимантана;;;X
PROV2540;Java Sea;Java Sea;Java Sea;Java Sea;Java Sea;Java Sea;;Яванское море;;;X
PROV2541;Makassar Strait;Makassar Strait;Makassar Strait;Makassar Strait;Makassar Strait;Makassar Strait;;Макассарский пролив;;;X
PROV2542;Savu Sea;Savu Sea;Savu Sea;Savu Sea;Savu Sea;Savu Sea;;море Саву;;;X
PROV2543;Lombok Strait;Lombok Strait;Lombok Strait;Lombok Strait;Lombok Strait;Lombok Strait;;Ломбокский пролив;;;X
PROV2544;Christmas Island;Christmas Island;Christmas Island;Christmas Island;Christmas Island;Christmas Island;;остров Рождества;;;X
PROV2545;Cape Karosso;Cape Karosso;Cape Karosso;Cape Karosso;Cape Karosso;Cape Karosso;;мыс Кароссо;;;X
PROV2546;West Java Trench;West Java Trench;West Java Trench;West Java Trench;West Java Trench;West Java Trench;;Запад Яванской впадины;;;X
PROV2547;Banda Sea;Banda Sea;Banda Sea;Banda Sea;Banda Sea;Banda Sea;;море Банда;;;X
PROV2548;Molucca Sea;Molucca Sea;Molucca Sea;Molucca Sea;Molucca Sea;Molucca Sea;;Молуккское море;;;X
PROV2549;Gulf of Tolo;Gulf of Tolo;Gulf of Tolo;Gulf of Tolo;Gulf of Tolo;Gulf of Tolo;;залив Толо;;;X
PROV2550;North Banda Basin;North Banda Basin;North Banda Basin;North Banda Basin;North Banda Basin;North Banda Basin;;Северное море Банда;;;X
PROV2551;Ceram Sea;Ceram Sea;Ceram Sea;Ceram Sea;Ceram Sea;Ceram Sea;;море Серам;;;X
PROV2552;Berau Bay;Berau Bay;Berau Bay;Berau Bay;Berau Bay;Berau Bay;;залив Берау;;;X
PROV2553;Celebes Sea;Celebes Sea;Celebes Sea;Celebes Sea;Celebes Sea;Celebes Sea;;море Сулавеси;;;X
PROV2554;Halmahera Sea;Halmahera Sea;Halmahera Sea;Halmahera Sea;Halmahera Sea;Halmahera Sea;;море Хальмахера;;;X
PROV2555;Leyte Gulf;Leyte Gulf;Leyte Gulf;Leyte Gulf;Leyte Gulf;Leyte Gulf;;залив Лейте;;;X
PROV2556;Sulu Sea;Sulu Sea;Sulu Sea;Sulu Sea;Sulu Sea;Sulu Sea;;море Сулу;;;X
PROV2557;Surigao Strait;Surigao Strait;Surigao Strait;Surigao Strait;Surigao Strait;Surigao Strait;;пролив Суригао;;;X
PROV2558;Sibuyan Sea;Sibuyan Sea;Sibuyan Sea;Sibuyan Sea;Sibuyan Sea;Sibuyan Sea;;море Сибуян;;;X
PROV2559;Datu Bay;Datu Bay;Datu Bay;Datu Bay;Datu Bay;Datu Bay;;залив Дату;;;X
PROV2560;Palawan Passage;Palawan Passage;Palawan Passage;Palawan Passage;Palawan Passage;Palawan Passage;;Палаванский пролив;;;X
PROV2561;Arafura Sea;Arafura Sea;Arafura Sea;Arafura Sea;Arafura Sea;Arafura Sea;;Арафурское море;;;X
PROV2562;Kamrau Bay;Kamrau Bay;Kamrau Bay;Kamrau Bay;Kamrau Bay;Kamrau Bay;;залив Камрау;;;X
PROV2563;Aru Archipelago;Aru Archipelago;Aru Archipelago;Aru Archipelago;Aru Archipelago;Aru Archipelago;;острова Ару;;;X
PROV2564;Bonaparte Gulf;Bonaparte Gulf;Bonaparte Gulf;Bonaparte Gulf;Bonaparte Gulf;Bonaparte Gulf;;залив Жозеф-Бонапарт;;;X
PROV2565;Rowley Shoals;Rowley Shoals;Rowley Shoals;Rowley Shoals;Rowley Shoals;Rowley Shoals;;рифы Роули;;;X
PROV2566;Bonaparte Archipelago;Bonaparte Archipelago;Bonaparte Archipelago;Bonaparte Archipelago;Bonaparte Archipelago;Bonaparte Archipelago;;острова Жозеф-Бонапарт;;;X
PROV2567;Timor Sea;Timor Sea;Timor Sea;Timor Sea;Timor Sea;Timor Sea;;Тиморское море;;;X
PROV2568;Central Mid-Indian Basin;Central Mid-Indian Basin;Central Mid-Indian Basin;Central Mid-Indian Basin;Central Mid-Indian Basin;Central Mid-Indian Basin;;Середина центральной части Индйского океана;;;X
PROV2569;North Ninetyeast Ridge;North Ninetyeast Ridge;North Ninetyeast Ridge;North Ninetyeast Ridge;North Ninetyeast Ridge;North Ninetyeast Ridge;;Север хребта Девяностого меридиана;;;X
PROV2570;South Mid-Indian Basin;South Mid-Indian Basin;South Mid-Indian Basin;South Mid-Indian Basin;South Mid-Indian Basin;South Mid-Indian Basin;;Юг центральной части Индйского океана;;;X
PROV2571;South Ninetyeast Ridge;South Ninetyeast Ridge;South Ninetyeast Ridge;South Ninetyeast Ridge;South Ninetyeast Ridge;South Ninetyeast Ridge;;Юг хребта Девяностого меридиана;;;X
PROV2572;North Australian Basin;North Australian Basin;North Australian Basin;North Australian Basin;North Australian Basin;North Australian Basin;;Север Австралийского моря;;;X
PROV2573;West Australian Basin;West Australian Basin;West Australian Basin;West Australian Basin;West Australian Basin;West Australian Basin;;Запад Австралийского моря;;;X
PROV2574;Geographe Bay;Geographe Bay;Geographe Bay;Geographe Bay;Geographe Bay;Geographe Bay;;залив Географ;;;X
PROV2575;Panama Canal;Panama Canal;Panama Canal;Panama Canal;Panama Canal;Panama Canal;;Панамский канал;;;X
PROV2576;Shark Bay;Shark Bay;Shark Bay;Shark Bay;Shark Bay;Shark Bay;;залив Шарк;;;X
PROV2577;Exmouth Gulf;Exmouth Gulf;Exmouth Gulf;Exmouth Gulf;Exmouth Gulf;Exmouth Gulf;;залив Эксмут;;;X
PROV2578;Southwest Australian Basin;Southwest Australian Basin;Southwest Australian Basin;Southwest Australian Basin;Southwest Australian Basin;Southwest Australian Basin;;Юго-Восток Австралийского моря;;;X
PROV2579;Sandy Bight;Sandy Bight;Sandy Bight;Sandy Bight;Sandy Bight;Sandy Bight;;залив Сэнди;;;X
PROV2580;South Australian Basin;South Australian Basin;South Australian Basin;South Australian Basin;South Australian Basin;South Australian Basin;;Юг Австралийского моря;;;X
PROV2581;Great Australian Bight;Great Australian Bight;Great Australian Bight;Great Australian Bight;Great Australian Bight;Great Australian Bight;;Большой Австралийский залив;;;X
PROV2582;Spencer Gulf;Spencer Gulf;Spencer Gulf;Spencer Gulf;Spencer Gulf;Spencer Gulf;;залив Спенсер;;;X
PROV2583;Bass Strait;Bass Strait;Bass Strait;Bass Strait;Bass Strait;Bass Strait;;Бассов пролив;;;X
PROV2584;Farneaux Group;Farneaux Group;Farneaux Group;Farneaux Group;Farneaux Group;Farneaux Group;;острова Фарно;;;X
PROV2585;Karamea Bay;Karamea Bay;Karamea Bay;Karamea Bay;Karamea Bay;Karamea Bay;;бухта Карамеа;;;X
