##;HEARTS OF IRON!;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,
##;=====================;;;;;;;;;;X,
##;;;;;;;;;;;X,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,
##;§W = white text;;;;;;;;;;X,,,,,
##;§Y = orange text;;;;;;;;;;X,,,,,
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X,,
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X,,,,
##;;;;;;;;;;;X,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,
UIW_RE_DRO;You need %.1f manpower and %.1f supplies to reinforce this unit.;Vous avez besoin de %.1f main d'oeuvre et de %.1f ravitaillement pour mettre а niveau cette unitй.;Necessiti di %.1f forza lavoro e %.1f rifornimenti per rinforzare questa unitа.;Necesitas %.1f rec. hum. y %.1f sumin. para reforzar esta divisiуn.;Zur Verstдrkung dieser Einheit benцtigen Sie %.1f Wehrfдhige und %.1f an Nachschub.;Potrzebujesz %.1f j. zasobуw ludzkich i %.1f j. zaopatrzenia do uzupeіnienia stanуw osobowych tej jednostki.;;Для доукомплектования этой части необходимо %.1f людских ресурсов и %.1f военных припасов.;;;x,
CONVOY_TRANS;Our merchant shipping provides %.1f new ships for convoy duty each month.;Notre flotte marchande nous fournit %.1f nouveaux cargos pour des convois, chaque mois.;La nostra flotta mercantile fornisce %.1f nuove navi da convoglio ogni mese.;Nuestra marina mercante da %.1f nuevos barcos al mes para servicios de convoy.;Unsere Handelsschifffahrt stellt jeden Monat %.1f neue Schiffe fьr Konvoidienst zur Verfьgung.;Nasza flota handlowa zapewnia nam %.1f nowych statkуw handlowych kaїdego miesi№ca.;;Наш торговый флот ежемесячно предоставляет %.1f судов для конвоев.;;;x,,,,,,
UIW_ATTRITION;This unit is exposed to attrition, and will lose %.2f\%% of its current strength each week.;Cette unitй est sujette а l’usure, et perdra chaque semaine %.2f\%% de sa force actuelle.;Quest’unitа и esposta a logorio e perderа quindi %.2f\%% della sua forza attuale ogni settimana.;Estб unidad estб expuesta al desgaste y perderб %.2f\%% de su fuerza actual cada semana.;Wцchentliche Verluste von %.2f\%%.;Ta jednostka ulega wyniszczeniu i bкdzie co miesi№c traciіa %.2f\%% punktуw swojej aktualnej siіy.;;Эта часть несет небоевые потери и теряет %.2f\%% боеспособности еженедельно.;;;x,,,,,
#############################################;;;;;;;;;;;x,,,,,,,
#############################################;;;;;;;;;;;x,,,,,,,
TE_SUB_ATTACK;Sub Attack;Attaque de sous-marin;Attacco sottomarino;Ataque submarino;U-Boot-Angriff;Atak podwodny;;Подводная атака;;;X,,,,,,,
#  Date and Time order strings use M for month name, D for day, Y for year, and H for hour...;;;;;;;;;;;x,,,,
DATE;M D, Y;D M Y;D M Y;D M, Y;D. M Y;D M Y;;M D, Y;;;x,,,,,
TIME;H:00 M D, Y;D M Y а H:00;H:00 D M Y;H:00 D M, Y;H:00 Uhr D. M Y;H:00 D M Y;;H:00 M D, Y;;;x,,,,,
LOADGAME;Load Game;Charger partie;Carica partita;Cargar partida;Spiel laden;Wczytaj grк;;Загрузка игры;;;x,,,,,,,
SAVEGAME;Save Game;Sauvegarder partie;Salva partita;Guardar partida;Spiel speichern;Zapisz grк;;Сохранение игры;;;x,,,,,,,
ERROR_SOUND_NAME;Critical Error!;Erreur Critique !;Errore critico!;ЎError crнtico!;Kritischer Fehler!;Bі№d krytyczny!;;Ошибка!;;;x,,,,,,,
ERROR_SOUND_DESC;HOI has encountered a problem with your sound card. Please obtain and install the latest sound drivers from the sound card manufacturer. If the problem persists, contact the technical support.;HOI a rencontrй des problиmes techniques avec votre carte son. Essayez de mettre а jour les pilotes de votre carte son. Si le problиme persiste, contactez le support technique.;HOI ha riscontrato un problema con la scheda audio, prova a scaricare e a installare i driver piщ recenti per la periferica. Se il problema persiste, contatta il supporto tecnico.;HOI2 ha encontrado un problema con la tarjeta de sonido. Consigue e instala los ъltimos controladores de sonido del fabricante de la tarjeta. Si el problema continъa, ponte en contacto con el servicio tйcnico.;HOI ist auf ein Problem mit Ihrer Audiokarte gestoЯen. Bitte installieren Sie die neuesten Treiber vom Hersteller Ihrer Audiokarte. Sollte das Problem bestehen bleiben, wenden Sie sich bitte an den Technischen Support.;HOI napotkaі na problem z ustawieniami twojej karty muzycznej. Pobierz i zainstaluj najnowsze sterowniki ze strony producenta karty. Jeїeli problem nie zniknie, skontaktuj siк ze wsparciem technicznym gry.;;Игра столкнулась с проблемой, связанной с вашей звуковой картой. Пожалуйста, найдите и установите самые последние драйверы для вашей звуковой карты. Если проблема сохранится, свяжитесь с технической поддержкой.;;;x
##;;;;;;;;;;;x,,,,,,,
JOINMPGAME;<%s has joined>;<%s a rejoint la partie>;<%s si и connesso>;<ha entrado %s>;<%s hat das Spiel betreten>;<%s doі№czyі do gry>;;<%s присоединяется к игре>;;;x,,,,,,,
LEFTMPGAME;<%s has left>;<%s a quittй la partie>;<%s si и scollegato>;<ha salido %s>;<%s hat das Spiel verlassen>;<%s opuњciі grк>;;<%s покидает игру>;;;x,,,,,,,
##;;;;;;;;;;;x,,,,,,,
TE_NUKE_PROD;Doubles the rate of atomic bomb production.;Double le taux de production de la bombe atomique.;Raddoppia la produzione di bombe atomiche.;Duplica el ritmo de producciуn de la bomba atуmica.;Verdoppelt die Rate der Atombombenproduktion.;Podwaja tempo produkcji bomb j№drowych.;;Удваивает скорость производства атомных бомб.;;;x
#;;;;;;;;;;;x
PARANOTSUPPLY;Paratroopers cannot be loaded onto transport planes in provinces without supply.;Les parachutistes ne peuvent pas embarquer dans les avions de transports а partir de provinces sans ravitaillement.;I paracadutisti non possono essere caricati su aerei da trasporto in province senza rifornimenti.;Los paracaidistas no pueden embarcarse en aviones de transporte desde provincias sin suministros.;Fallschirmjдger kцnnen nicht auf Transportflugzeuge von Provinzen ohne Nachschub geladen werden.;Spadochroniarze nie mog№ byж zaіadowani do samolotуw pochodz№cych z prowincji pozbawionych zaopatrzenia.;;Парашютистов нельзя погрузить на транспортные самолеты в провинциях, расположенных вне цепи снабжения.;;;X
;;;;;;;;;;;
;;;;;;;;;;;
TE_SPEED_CAP_ART;Speed Cap for ART Brigades;Limite de vitesse pour brigades d'ART;Velocitа brigate A;Cap. veloc. brigadas Art;Geschwindigkeitsgrenze fьr ART-Brigaden;Limit szybkoњci dla brygad artylerii;;Предел скорости артиллерийских бригад;;;X
TE_SPEED_CAP_ENG;Speed Cap for ENG Brigades;Limite de vitesse pour brigades d'ING;Velocitа brigate G;Cap. veloc. brigadas Ing;Geschwindigkeitsgrenze fьr PIO-Brigaden;Limit szybkoњci dla brygad inїynieryjnych;;Предел скорости саперных бригад;;;X
TE_SPEED_CAP_AA;Speed Cap for AA Brigades;Limite de vitesse pour brigades AA;Velocitа brigate CA;Cap. veloc. brigadas AA;Geschwindigkeitsgrenze fьr AA-Brigaden;Limit szybkoњci dla brygad przeciwlotniczych;;Предел скорости бригад ПВО;;;X
TE_SPEED_CAP_AT;Speed Cap for AT Brigades;Limite de vitesse pour brigades AT;Velocitа brigate AC;Cap. veloc. brigadas ACa;Geschwindigkeitsgrenze fьr PA-Brigaden;Limit szybkoњci dla brygad przeciwpancernych;;Предел скорости бригад ПТО;;;X
DIV_RD_IRO4;Your transport network can only redeploy %d divisions at the same time.;Votre rйseau de transport peut seulement redйployer %d divisions а un mкme moment.;Il tuo sistema di trasporto puт ridistribuire solo %d divisioni alla volta.;Tu red de transporte sуlo puede trasladar a %d divisiones a la vez.;Ihr Transportnetzwerk kann nur %d Divisionen zugleich neu einsetzen.;Twoja sieж transportowa jest w stanie dokonaж jednoczesnej dyslokacji %d dywizji.;;Одновременно ваша транспортная сеть может перевозить только %d дивизии.;;;X
REDEPLOY_CAP;Redeploying %d divisons / Capacity %d;Redйployant %d divisions / Capacitй %d;Reimpiego di %d divisioni / Capacitа %d;Trasladando %d divisiones / Capacidad %d;%d Divisionen werden neu eingesetzt / Kapazitдt %d;Dyslokowane dywizje %d / ZT %d;;Перевозится дивизий: %d / ПС: %d;;;X
3RD;rd;e;°;.;.;.;;ий;;;X
1TH;th;re;°;.;.;.;;ый;;;X
2TH;th;e;°;.;.;.;;ой;;;X
FLOTILLA;Flotilla;Flottille;Flotta;Flotilla;Flottille;Flotylla;;Флотилия;;;X
EPERSONALITY_OTHER_GOV;Target government is of a different type:;Le gouvernement cible est de type diffйrent :;Il governo selezionato и di tipo differente:;El gobierno objetivo es de un tipo diferente:;Das Ziel hat eine andere Regierungsform:;Rz№d docelowy jest innego typu:;El Gobierno del Objetivo es de distinto tipo al nuestro:;При обращении к правительству с другим политическим режимом:;;;X
EPERSONALITY_SAME_GOV;Target government is of the same type:;Le gouvernement cible est du mкme type:;Il governo selezionato и dello stesso tipo:;El gobierno objetivo es del mismo tipo:;Das Ziel hat die gleiche Regierungsform:;Rz№d docelowy jest tego samego typu:;El Gobierno del Objetivo es de nuestro mismo tipo:;При обращении к правительству с аналогичным политическим режимом:;;;X
EPERSONALITY_BIGGER_COUNTRY;Target country is less than half the size:;Le pays cible fait moins de la moitiй de la taille de :;La nazione selezionata и meno della metа in dimensioni:;El paнs objetivo tiene menos de la mitad de tamaсo:;Das Ziel ist weniger als halb so groЯ:;Kraj docelowy jest o poіowк mniejszy:;El Paнs que es nuestro objetivo no es mбs q la mitad:;При обращению к государству, в два раза меньшему по размерам:;;;X
T_CONSTRUCTION;Construction Bonus;Bonus de construction;Bonus costruzione;Bonif. a construcciуn;Produktion;Premia konstrukcyjna;;Бонус к строительству;;;x
T_ARMY_INTELLIGENCE;Army Intelligence;Renseignement de l’Armйe ;Servizi segreti Esercito;Inteligencia militar;Heeresaufklдrung;Wywiad wojskowy;Inteligencia del Ejйrcito;Военная разведка;;;X
T_INTELLIGENCE;Intelligence;Intelligence;Spionaggio;Inteligencia;Aufklдrung;Wywiad;Inteligencia;Разведка;;;X
T_DI;DI;ID;INF;ID;DI (Diplomatischer EinfluЯ);Niezadowolenie;ID;Дипломатическое влияние;;;X
T_CHANCE;Chance;Chance;Probabilitа;Oportunidad;Chance;Pr. sukcesu;Oportunidad;Вероятность;;;X
NAVAL_DETECTION;Naval Detection;Dйtection navale;Rilevazione navale;Detecciуn naval;Marine-Aufklдrung;Wykrycie jednostki morskiej;Detecciуn Naval;Морское обнаружение;;;X
LAND_UNIT_SPEED;Land Unit Speed;Rapiditй des unitйs terriennes;Velocitа unitа terrestri;Velocidad de unidad terrestre;Geschwindigkeit Bodentruppen;Szybkoњж jednostki l№dowej;Velocidad de Unidad Terrestre;Скорость сухопутных частей;;;X
MANPOWER_GROWTH;Manpower Growth;Croissance main d’њuvre ;Crescita forza lavoro;Crecimiento de rec. hum.;Wachstum der Rekrutenzahl;Przyrost zasobуw ludzkich;Crecimiento de la Mano de Obra;Рост людских ресурсов;;;X
ORG_REGAIN;Org. Regain;Rйcupйration Org.;Riconquista organ.;Recuperac. org.;Wiederherstellung der Org.;Wzrost zorganizowania;Recuperar Organizaciуn;Восстановление организации;;;X
DEF_COMBAT_MODIFIER;Def. Combat Modifier;Modificateur combat dйf.;Modificatore attacco;Mod. de combate defensivo;Kampfmodifikator Defensive;Modyfikator obrony;Modificador de Combate Defensivo;Модификатор обороны;;;X
OFF_COMBAT_MODIFIER;Off. Combat Modifier;Modificateur combat off.;Modificatore difesa;Mod. de combate ofensivo;Kampfmodifikator Offensive;Modyfikator ataku;Modificador de Combate Ofensivo;Модификатор наступления;;;X
T_LAND_FORT;Land Fort;Fort. terrestre;Fort. terrestri;Fort. terrestre;Landbefestigung;Fortyfikacje l№dowe;Fortificaciуn Terrestre;Укрепрайон;;;X
T_FOREIGN_MANPOWER_USE;Foreign Manpower Use;Utilisation de main d’њuvre йtrangиre;Utilizzo forza lavoro estera;Uso de rec hum. extranjeros;Verwendung auslдndischer Freiwilliger;Uїycie obcych zasobуw ludzkich;Uso de Mano de Obra Extranjero;Использование людских ресурсов оккупированных территорий;;;X
T_FOREIGN_IC_USE;Foreign IC Use;Utilisation de PP йtrangers;Utilizzo PI estero;Uso de CI extranjera;Verwendung auslдndischer IK;Uїycie obcego PP;Uso de CI Extranjera;Использование ПП оккупированных территорий;;;X
SELECT_MODEL;Select Model;Sйlectionner modиle;Seleziona Modello;Seleccionar modelo;Modell auswдhlen;Wybierz model;Seleccionar Modelo;Выберите модель;;;X
WHICH_MODEL;Change to %s;Remplacer par %s;Cambia in %s;Cambiar a %s;Дndern in %s;Zmieс na %s;Cambiar a %s;Изменить на %s;;;X
CONVOYWHERE;the %s-%s convoy at %s;le convoi %s-%s а %s;il convoglio %s-%s in %s;el convoy de %s-%s estб en %s;der %s-%s Konvoi in %s;konwуj %s - %s jest w %s;el convoy %s-%s a %s;%s-%s конвой в %s;;;X
LIBERATE_NATION;Liberate Nation;Libйrer un pays;Libera la nazione;Liberar naciуn;Unabhдngigkeit gewдhren;Wyzwуl paсstwo;;Дать независимость ;;;x
LIBVAS_TITLE;They will receive the following province(s): ;Ils recevront la / les province(s) suivante(s) : ;Riceveranno:;Recibirбn la(s) provincia(s) siguiente(s): ;Wir treten die folgenden Provinzen ab:;Otrzymaj№ nastкpuj№ce prowincje: ;;Это государство получит следующие провинции: ;;;x
VASSAL_GRANT;Grant;Accorder;Concedi;Conceder;Gewдhren;Przekaї;;Предоставить;;;x
VASSAL_CURRENT;Create: %s;Crйer: %s;Crea: %s;Crear: %s;Erschaffen: %s;Stwуrz: %s;;Создать государство: %s;;;x
VASSAL_NONE;Nothing selected;Aucun;Nessuna selezione;Nada seleccionado;Keine Auswahl getroffen;Nic nie zostaіo wybrane;;Выбор не сделан;;;x
LIB_NATION_TITLE;Select Nation to Liberate;Sйlectionner un pays а libйrer;Seleziona la nazione da liberare;Seleccionar naciуn a liberar;Zu befreiendes Land auswдhlen;Ktуre paсstwo chcesz wyzwoliж?;;Дать независимость государству:;;;
#;;;;;;;;;;;X
##;;;;;;;;;;;X
BM_AMPH_PENALTY;Amphibious Landing;Dйbarquement amphibie;Atterraggio anfibio;Asalto anfibio;Invasion;Desant morski;;Высадка с моря;;;x
BM_BASE_PROXIMITY;Base Proximity;Proximitй base;Vicinanza della base;Proximidad a la base;Basisnдhe;Bliskoњж bazy;;Близость базы;;;x
BM_BLIZZARD;Blizzard;Tempкte de neige;Bufera;Ventisca;Schneesturm;Њnieїyca;;Буря;;;x
BM_CARRIER_DOCTRINE;Superior Carrier Doctrine;Doctrine porte-avion supйrieur;Dottrina Superioritа portaerei;Doctrina dominio portaav.;Superior Carrier-Doktrin;Lepsza doktryna walki lotniskowcуw;;Доктрина превосходства в авианосцах;;;x
BM_DISSENT;Dissent;Instabilitй;Dissenso;Disensiуn;Unruhe;Niezadowolenie;;Недовольство;;;x
BM_DIVISION_PENALTY;Over Command Max;Max. limite de commandement;Superiore al limite massimo delle truppe;Mбx. mando;Ьber Befehlslimit;Przeіadowanie;;Превышение предела частей под командованием;;;x
BM_DUGIN_MODIFIER;Dug In;Retranchement;Scava trincea;Atrinch.;Eingegraben;Okopanie;;Окапывание;;;x
BM_ENCIRCLEMENT_PENALTY;No Retreat Possible;Aucune retraite possible;Ritirata impossibile;Sin retirada posible;Rьckzug nicht mцglich;Odwrуt nie jest moїliwy;;Отступление невозможно;;;x
BM_ENVELOPMENT_PENALTY;Enveloped;Entourй(s);Racchiuso;Envuelta;Umzingelt;Obezwіadnienie;;Окружены;;;x
BM_FOREST;Forest;Forкt;Foresta;Bosque;Wald;Las;;Леса;;;x
BM_FORT_MODIFIER;Fortifications;Fortifications;Fortificazioni;Las fortificaciones;Befestigungen;Fortyfikacje;;Укрепления;;;x
BM_FROZEN;Frozen;Gelй;Ghiacciato;Helado;Bodenfrost;Oblodzenie;;Мороз;;;x
BM_HQ_NEARBY;HQ Nearby;QG а proximitй;QG nelle vicinanze;Cuartel cercano;HQ in der Nдhe;Bliskoњж dywizji dowodzenia;;Штаб рядом;;;x
BM_JUNGLE;Jungle;Jungle;Giungla;Jungla;Dschungel;Dїungla;;Джунгли;;;x
BM_LEADER_BONUS;Leadership;Leadership;Leadership;Liderazgo;Fьhrungsbonus;Dowуdca;;Бонус военачальника;;;x
BM_MARSH;Marsh;Marais;Palude;Pantano;Sumpf;Moczary;;Болота;;;x
BM_MOUNTAIN;Mountain;Montagne;Alpini;Montaсa;Gebirge;Gуry;;Горы;;;x
BM_HILLS;Hills;Collines;Colline;Colinas;Hьgel;Wzgуrza;;Холмы;;;x
BM_MUDDY;Muddy;Boueux;Fangoso;Embarrado;Schlammig;Bіota;;Грязь;;;x
BM_NIGHT_MODIFIER;Night;Nuit;Notte;Noche;Nacht;Noc;;Ночь;;;x
BM_PARATROOP_PENALTY;Paradropping;Parachutage;Lancio con il paracadute;Paracaidismo;Luftlandung;Zrzut spadochroniarzy;;Высадка с воздуха;;;x
BM_RAIN;Rain;Pluie;Pioggia;Lluvia;Regen;Deszcz;;Дождь;;;x
BM_RIVER_PENALTY;River Crossing;Franchissement de riviиre;Guado fluviale;Cruce de rнo;Flussьberquerung;Przeprawa przez rzekк;;Форсирование реки;;;x
BM_SNOW;Snow;Neige;Neve;Nevisca;Schnee;Њnieg;;Снег;;;x
BM_STORM_MODIFIER;Storm;Tempкte;Tempesta;Tormenta;Sturm ;Burza;;Шторм;;;x
BM_URBAN;Urban;Urbain;Urbano;Ciudad;Hдuserkampf;Teren zabudowany;;Город;;;x
BM_SHORE_BOMBARD;Shore Bombardment;Bombardements cфtiers;Bombardamenti costieri;Bombardeo costa;Kьstenbeschuss;Ostrzaі z brzegu;;Бомбардировка с моря;;;x
BM_NIGHT_FLYER;Night Flyer;T : Oiseau de nuit;S: Aviatore notturno;T: Vuelo nocturno;T: Nachtflieger;Lotnik nocny;;Ночной пилот;;;x
BM_OFFENSIVE_DOCTRINE;Offensive Leader;T : Doctrine offensive;S: Dottrina offensiva;T: Doctrina ofensiva;T: Offensivdoktrin;Doktryna ofensywna;;Мастер наступления;;;x
BM_DEFENSIVE_DOCTRINE;Defensive Leader;T : Doctrine dйfensive;S: Dottrina difensiva;T: Doctrina defensa;T: Defensivdoktrin;Doktryna defensywna;;Мастер обороны;;;x
BM_SUPERIOR_TACTITIAN;Superior Tactician;T : Maоtre tacticien;S: Esperto tattico;T: Tбctico excepcional;T: Ьberragender Taktiker;Wybitny taktyk;;Превосходный тактик;;;x
BM_STACKING_PENALTY;Stacking Penalty;Pйnalitй de cumul;Penalitа di sovraccarico;Penal. saturaciуn;Stacking Penalty;Kara za nadmierne zgrupowanie;;Штраф за плохое управление;;;x
BM_DIFFICULTY;Difficulty;Difficultй;Difficoltа;Dificultad;Schwierigkeitsgrad;Poziom trudnoњci;;Сложность;;;x
BM_SUPPLY_DISTANCE;Logistic Distance;Distances logistiques;Distanze logistiche;Distancias logнsticas;Logistische Entfernung;Dіugoњж linii zaopatrzeniowych;;Плечо снабжения;;;x
BM_LACK_OF_SUPPLIES;Lack of Supply;Pйnurie d’approvisionnement;Carenza di rifornimenti;Falta de sumin.;Versorgungsprobleme;Brak zaopatrzenia;;Отсутствие снабжения;;;x
BM_DESERT;Desert;Dйsert;Deserto;Desierto;Wьste;Pustynia;;Пустыня;;;x
BM_WEATHER_EQ;Bad Weather Gear;Йquipement mйtйo;Equipaggiamento meteo;Equipo climatolуgico;Wetterausrьstung;Wyposaїenie do trudnych warunkуw pogodowych;;Экипировка для плохой погоды;;;x
BM_COS_DEFENCE;School of Defence;Thйorie de la dйfense;Scuola di difesa;Escuela defensa;Schule der Verteidigung;Szkoіa obrony;;Школа обороны;;;x
BM_COA_EL_DEF_DOCTRINE;Elastic Defence Chief;Doctrine de la dйfense flexible;Dottrina della difesa elastica;Doctrina defensa elбstica;Elastische Verteidigungsdoktrin;Doktryna elastycznej obrony;;Доктрина гибкой обороны;;;x
BM_COA_STAT_DEF_DOCTRINE;Static Defence Chief;Doctrine de la dйfense statique;Dottrina della difesa statica;Doctrina defensa estбtica;Statische Verteidigungsdoktrin;Doktryna statycznej obrony;;Доктрина статичной обороны;;;x
BM_COA_DEC_DOCTRINE;Decisive Battle Chief;Doctrine de la bataille dйcisive;Dottrina della battaglia decisiva;Doctrina batalla decisiva;Entscheidungsschlacht-Doktrin;Doktryna rozstrzygaj№cej bitwy;;Доктрина решающего сражения;;;x
BM_COA_ARMOR_SPEARHEAD;Armor Spearhead Chief;Doctrine du fer de lance blindй;Dottrina dei reparti d'assalto corazzati;Doctrina punta ataque acoraz.;Panzerangriffs-Doktrin;Doktryna pancernej piкњci;;Доктрина танкового прорыва;;;x
BM_PANZER_LEADER;Panzer Leader;T : Expert en blindйs;S: Comandante dei panzer;T: Lнder panzers;T: Panzerkommandeur;Dowуdca pancerniakуw;;Мастер танковой войны;;;x
BM_COMMANDO;Commando Leader;T : Commando;S: Commando;T: Comando;T: Kommandotrupp;Komandos;;Коммандо;;;x
BM_NO_HQ;No HQ;Aucun QG;Nessun QG;Sin EM;Kein HQ;Brak dywizji dowodzenia;;Нет штаба;;;x
BM_SEAWOLF;Seawolf Leader;T : Loup de mer;S: Lupo di mare;T: Lobo de mar;T: Seewolf;Wilk morski;;Морской волк;;;x
BM_SURPRISE;Surprise;Surprise ;Sorpresa;Sorpresa;Ьberraschung;Zaskoczenie;;Врасплох;;;x
BM_RADAR_STATION;Enemy Radar;Radar ennemi;Radar nemico;Radar enemigo;Feindlicher Radar;Wrogi radar;;Вражеский радар;;;x
BM_COMBINED_ARMS;Combined Arms;Armes combinйes;Armi combinate;Armamento combinado;Combined Arms;Wspуіpraca wojsk;;Взаимодействие родов войск;;;x
BM_BETTER_COMBINED_ARMS;Advanced Combined Arms;Armes de pointe combinйes;Armi combinate avanzate;Armamento combinado avanzado;Fortschrittliche Combined Arms;Zaawansowana wspуіpraca wojsk;;Улучшенное взаимодействие родов войск;;;x
BM_EXPERIENCE;Experience;Expйrience;Esperienza;Experiencia;Erfahrung;Doњwiadczenie;;Опыт;;;x
BM_INTERCEPT;Interception Bonus;Bonus d’interception;Bonus intercettazione;Bonif. a interceptaciуn ;Abfangbonus;Premia za przechwycenie;;Бонус перехватчиков;;;x
BM_MISSION_EFFICIENCY;Mission Efficiency;Efficacitй de la mission;Efficienza missione;Eficacia de la misiуn;Missionseffizienz;Wydajnoњж misji;;Эффективность задания;;;x
BM_MULTIPLE;Flanked;Flanquйs;Attaccata da un fianco;Flanqueada;Flankiert;Zaatakowany ze skrzydіa;;Часть обойдена с фланга;;;x,
#;;;;;;;;;;;x,
DOMW_DELAY;We can modify these next around %s.;La prochaine modification sera possible vers %s.;Possiamo modificare questi elementi nei dintorni di %s.;Podemos modificarlo hacia '%s'.;Nдchste Modifikation %s mцglich.;Moїemy zmodyfikowaж te ustawienia dnia: %s.;Possiamo modificare questi elementi nei dintorni di %s.;В следующий раз мы сможем изменить это не ранее %s.;@;@;x,
DOMW_MODIFY;By moving one step towards %s we'll get the following effects:\n;En avanзant d’un pas vers %s nous aurons les consйquences suivantes:\n;Spostandosi di un grado verso %s otterremo i seguenti effetti:\n;Al avanzar un paso hacia '%s', obtendremos los efectos siguientes:\n;Indem wir einen Schritt auf %s zugehen erzielen wir folgenden Effekt:\n;Przesuwaj№c siк o jeden w stronк %s uzyskamy nastкpuj№ce efekty:\n;;Сделав шаг к идеологии '%s', мы получим следующий эффект:\n;;;x
DOMW_CAP;Our current ideology does not allow this change.\n;Notre idйologie actuelle ne permet pas ce changement.\n;La nostra attuale ideologia non consente questo cambiamento.\n;Nuestra ideologнa actual no nos permite este cambio.\n;Unsere aktuelle Ideologie erlaubt diese Дnderung nicht.\n;Nasza obecna ideologia nie pozwala na tak№ zmianк.\n;;Наша идеология не позволяет сделать такие изменения.\n;;;x,
DOMNAME_DEM_L;Democratic;Dйmocratique;Democratico;Democracia;Demokratie;Demokracja;;Демократия;;;x,
DOMNAME_DEM_R;Authoritarian;Autoritaire;Autoritario;Autoritarismo;Autokratie;Autorytaryzm;;Авторитарность;;;x,
DOMNAME_POL_L;Political Left;Gauche;Sinistra politica;Izquierda;Polit. Linke;Lewica;;Левые;;;x,
DOMNAME_POL_R;Political Right;Droite;Destra politica;Derecha;Polit. Rechte;Prawica;;Правые;;;x,
DOMNAME_FRE_L;Open Society;Sociйtй ouverte;Societа aperta;Aperturismo;Offene Gesellschaft;Spoі. otw.;;Откр. социум;;;x,
